Afrika	Afriko
Japan	Japanio
Suid-Amerika	Sudameriko
Noorweë	Norvegio
Engeland	Anglio
Skotland	Skotlando
Wallis	Kimrio
Noord-Ierland	Nord-Irlando
Republiek van Ierland	Irlando
Hongarye	Hungario
Spanje	Hispanio
Verenigde State van Amerika	Usono
België	Belgio
Luxemburg	Luksemburgo (lando)
Heelal	Universo
Aarde	Tero
Lewe	Vivo
Dood	Morto
Mens	Homo
George Washington	George Washington
Tim Berners-Lee	Tim Berners-Lee
Stanley Kubrick	Stanley Kubrick
Wikidata	Vikidatumoj
Finland	Finnlando
Swede	Svedio
Denemarke	Danio
Pole	Pollando
Litaue	Litovio
Italië	Italio
Switserland	Svislando
Oostenryk	Aŭstrio
Griekeland	Grekio
Turkye	Turkio
Bier	Biero
Portugal	Portugalio
Europa	Eŭropo
Asië	Azio
Noord-Amerika	Nordameriko
Antarktika	Antarkto
Wikipedia	Vikipedio
Nederland	Nederlando
Penis	Peniso
PHP	PHP
New York Stad	Novjorko
Washington, D.C.	Vaŝingtono
San Francisco	San-Francisko
Berlyn	Berlino
Los Angeles	Los-Anĝeleso
Boeing	Boeing
Airbus	Airbus
Rekenaar	Komputilo
Bern	Berno
Genève	Ĝenevo
Zürich	Zuriko
IRC	Interreta relajsa babilo
Internet	Interreto
Barack Obama	Barack Obama
Uruguay	Urugvajo
Basel	Bazelo
Rekenaardrukker	Presilo
MediaWiki	MediaVikio
Londen	Londono
Kaïro	Kairo
Alexandrië	Aleksandrio
Appel	Pomo
Parys	Parizo
Abraham Lincoln	Abraham Lincoln
Google Android	Android
Google	Google
Meksiko	Meksiko
Atlantiese Oseaan	Atlantika Oceano
Stille Oseaan	Pacifika Oceano
Kalifornië	Kalifornio
Boston	Bostono
Maandag	Lundo
Januarie	Januaro
Februarie	Februaro
Maart	Marto
Mars (planeet)	Marso
Kenia	Kenjo
Ethiopië	Etiopio
Ghana	Ganao
April	Aprilo
Mei	Majo
Junie	Junio
Julie	Julio
Augustus	Aŭgusto
September	Septembro
Oktober	Oktobro
November	Novembro
Desember	Decembro
Dinsdag	Mardo
Woensdag	Merkredo
Donderdag	Ĵaŭdo
Vrydag	Vendredo
Saterdag	Sabato
Sondag	Dimanĉo
Loper (skaak)	Kuriero (ŝako)
Pion (skaak)	Peono (ŝako)
Ruiter (skaak)	Ĉevalo (ŝako)
Toring (skaak)	Turo (ŝako)
Koning (skaak)	Reĝo (ŝako)
Dame (skaak)	Damo (ŝako)
Leeu	Leono
Frankryk	Francio
Esperanto	Esperanto
Hond	Hundo
Verenigde Koninkryk	Unuiĝinta Reĝlando
Kat	Hejma kato
Volksrepubliek van Sjina	Ĉina Popola Respubliko
Frans	Franca lingvo
WikiWoordeboek	Vikivortaro
Vis	Fiŝoj
Etanol	Etanolo
Brasilië	Brazilo
Alkohol	Alkoholo
François Hollande	François Hollande
Rusland	Rusio
Walvisagtiges	Cetacoj
Optiese vesel	Optika fibro
Yorkshire	Jorkŝiro
Vierkant	Kvadrato (geometrio)
See	Maro
Swartsee	Nigra Maro
Pi	Pi (nombro)
Pi (letter)	Pio (litero)
Wiki	Vikio
Toronto	Toronto
Alabama	Alabamo
São Paulo	San-Paŭlo (urbo)
São Paulo (deelstaat)	San-Paŭlo
Quebec	Kebekio
Pizza	Pico
Wikimedia-stigting	Fondaĵo Vikimedio
Jimmy Wales	Jimmy Wales
Duitsland	Germanio
Wit-Rusland	Belorusio
Duits	Germana lingvo
Ysland	Islando
God	Dio
Estland	Estonio
David Cameron	David Cameron
Saturnus	Saturno (planedo)
Saturnus se ringe	Ringoj de Saturno
Sjokolade	Ĉokolado
Vliegtuig	Aviadilo
Oorlog	Milito
1 (getal)	1 (nombro)
Stephen Harper	Stephen Harper
George W. Bush	George W. Bush
Reghoek	Ortangulo
Letland	Latvio
Oekraïne	Ukrainio
Tsjeggië	Ĉeĥio
Slowakye	Slovakio
Slowenië	Slovenio
Vilnius	Vilno
Moldowa	Moldava Respubliko
Roemenië	Rumanio
Bulgarye	Bulgario
Rome	Romo
Republiek van Masedonië	Respubliko Makedonio
Albanië	Albanio
Groenland	Gronlando
Kroasië	Kroatio
Bosnië en Herzegowina	Bosnio kaj Hercegovino
Nuuk	Nuko (Gronlando)
Azerbeidjan	Azerbajĝano
Andorra	Andoro
Siprus	Kipro
Georgië	Kartvelio
Wallonië	Valonio
Kasakstan	Kazaĥio
Malta	Malto
Vlaandere	Flandrio
Monaco	Monako
Montenegro	Montenegro
Vatikaanstad	Vatikano
San Marino	San-Marino
Brussel	Bruselo
Brusselse Hoofstedelike Gewes	Brusela Ĉefurba Regiono
Kuba	Kubo
Belize	Belizo
Eiffel-toring	Eiffel-Turo
Barbados	Barbado
Volkswagen	Volkswagen
Intel	Intel
Sleutelbord	Komputila klavaro
Java (programmeertaal)	Java (programlingvo)
Indonesië	Indonezio
QWERTY-sleutelbord	QWERTY
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Turks	Turka lingvo
Suid-Afrika	Sud-Afriko
Linkin Park	Linkin Park
Algerië	Alĝerio
Wikisource	Vikifontaro
Oesbekistan	Uzbekujo
Sonnedou	Drozero
Poznań	Poznano
Tasjkent	Taŝkento
Warskou	Varsovio
Islay	Islay
Eurovision-sangfees	Eŭrovido-Kantokonkurso
Modena	Modeno
Whiskey	Viskio
Wyn	Vino
Water	Akvo
Konjak	Konjako
Hout	Ligno
Televisie	Televido
Geslag	Sekso
Pornografie	Pornografio
Yslands	Islanda lingvo
Diego Velázquez	Diego Velázquez
Chili	Ĉilio
Jesus van Nasaret	Jesuo Kristo
Elvis Presley	Elvis Presley
Galileo Galilei	Galilejo
Mercurius	Merkuro (planedo)
Geskiedenis	Historio
Père-Lachaise-begraafplaas	Tombejo Père-Lachaise
Apple Inc.	Apple
Venus (planeet)	Venuso (planedo)
Taal	Lingvo
Liefde	Amo
Diktatorskap	Diktatoreco
Sterrestelsel	Galaksio
Jupiter (planeet)	Jupitero (planedo)
Michelle Bachelet	Michelle Bachelet
Melkweg	Lakta vojo
Oerknal	Praeksplodo
Uranus (planeet)	Urano (planedo)
Engelse Wikipedia	Anglalingva Vikipedio
Nicolas Sarkozy	Nicolas Sarkozy
Neptunus (planeet)	Neptuno (planedo)
Sterrekunde	Astronomio
Singapoer	Singapuro
Wetenskap	Scienco
Pluto (dwergplaneet)	Plutono
Montreal	Montrealo
Vrye sagteware	Libera programaro
Quimper	Quimper
Maria	Maria (patrino de Jesuo)
Lodewyk IX van Frankryk	Ludoviko la 9-a (Francio)
Liechtenstein	Liĥtenŝtejno
Sport	Sporto
Cambridge	Kembriĝo (Britio)
Yellowstone Nasionale Park	Nacia Parko Yellowstone
Adolf Hitler	Adolf Hitler
Facebook	Facebook
WikiLeaks	WikiLeaks
Julian Assange	Julian Assange
Eerste Wêreldoorlog	Unua mondmilito
Tweede Wêreldoorlog	Dua mondmilito
Keulen	Kolonjo
Wikibooks	Vikilibroj
Wikiquote	Vikicitaro
Wikiversity	Vikiversitato
Wikivoyage	Vikivojaĝo
Wodka	Vodko
Ubuntu (Linux)	Ubuntu (linukso)
Skopje	Skopjo
Gdynia	Gdynia
Linux	Linukso
Bob Dylan	Bob Dylan
Szczecin	Szczecin
Wiskunde	Matematiko
U2	U2
Latyn	Latina lingvo
Bahrein	Barejno
Armenië	Armenio
Wigskrif	Kojnoskribo
Higgs-boson	Bosono de Higgs
Serwië	Serbio
Maan	Luno
Istanboel	Istanbulo
Australië	Aŭstralio
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Astrobiologie	Astrobiologio
Pioneer-plaat	Tabulo de la kosmosondiloj Pioneer
Fisika	Fiziko
Argentinië	Argentino
Telekommunikasie	Telekomunikado
Peru	Peruo
Biologie	Biologio
Vreemde vlieënde voorwerp	Nifo
Noord-Korea	Nord-Koreio
Kambodja	Kamboĝo
Kuiper-gordel	Kujper-zono
Koran	Korano
Dinosourus	Dinosaŭro
Dierkunde	Bestoscienco
Islam	Islamo
Ljubljana	Ljubljano
Plantkunde	Plantoscienco
Lech Wałęsa	Lech Wałęsa
Wiel	Rado
Denis Diderot	Denis Diderot
Vrede	Paco
Encyclopædia Britannica	Encyclopaedia Britannica
Lyon	Liono
Europese Unie	Eŭropa Unio
Rhône-Alpes	Rodano-Alpoj
Wêreldwye web	TTT
Vrou	Virino
Sofia	Sofio
Akwaduk	Akvedukto
Poësie	Poezio
Rekenaarvirus	Komputviruso
Milaan	Milano
Turyn	Torino
Ontlasting	Fekaĵo
Anus	Anuso
Suurlemoen	Citrono
Piesang	Banano
Émile Zola	Émile Zola
666	666
Blom	Floro
Wladimir Wisotski	Vladimir Visockij
Berg Everest	Ĉomolungmo
Anatomie	Anatomio
Stad	Urbo
Napoleon Bonaparte	Napoleono Bonaparte
Olympus Mons	Olympus Mons
Fisiologie	Fiziologio
Ster	Stelo
Vesuvius	Vezuvio
Son	Suno
Louis Pasteur	Louis Pasteur
Ligjaar	Lumjaro
Victor Hugo	Victor Hugo
Oseanië	Oceanio
Atletiek	Atletiko
Sonnestelsel	Sunsistemo
Oossee	Balta Maro
Triëst	Triesto
Vistula	Vistulo
Avenue des Champs-Élysées	Avenuo de la Elizeaj Kampoj
Oder	Odro
Tand	Dento
Waterstof	Hidrogeno
Helium	Heliumo
Wikimedia Commons	Vikimedia Komunejo
Angela Merkel	Angela Merkel
Litium	Litio
Berillium	Berilio
Luidspreker	Laŭtparolilo
Boek	Libro
Dag	Tago
Oos-Timor	Orienta Timoro
Nag	Nokto
Jaar	Jaro
Eeue	Jarcento
Łódź	Lodzo
Mont Blanc	Blanka Monto
Ryn	Rejno
Oslo	Oslo
Bonn	Bonn
Katowice	Katowice
Swartkolk	Nigra truo
Gay	Gejo
Ceres (dwergplaneet)	Cereso
Lissabon	Lisbono
Rzeszów	Rzeszów
Haumea	Haŭmeo
Rhône	Rodano
Makemake	Makemako (nanoplanedo)
Eris (dwergplaneet)	Eriso
Doebai (stad)	Dubajurbo
Doebai (emiraat)	Dubajo
Lionel Messi	Lionel Messi
Boor (element)	Boro
Nicolaas Copernicus	Koperniko
Versailles	Versailles
Koolstof	Karbono
Wolga	Volgo
Stikstof	Nitrogeno
Suurstof	Oksigeno
FC Internazionale Milano	Inter Milano
Planeet	Planedo
Cleopatra VII	Kleopatra
Kate Bush	Kate Bush
Musiek	Muziko
Venesië	Venecio
Po (rivier)	Pado
Newarivier	Neva
Termometer	Termometro
Rennes	Rennes
Lille	Lille
Moskou	Moskvo
Fluoor	Fluoro
Italiaans	Itala lingvo
Chihuahua (hond)	Ĉivava hundo
Neon	Neono
Chihuahua (deelstaat)	Chihuahua
Sint Petersburg	Sankt-Peterburgo
Tsjad	Ĉado
Natrium	Natrio
Noord	Nordo
Magnesium	Magnezio
Aluminium	Aluminio
Nieu-Seeland	Nov-Zelando
Suid	Sudo
Indië	Barato
Silikon	Silicio
Tuvalu	Tuvalo
Fosfor	Fosforo
André-Marie Ampère	André-Marie Ampère
Prosa	Prozo
Yster	Fero
Tonga	Tongo
Wes	Okcidento
Swawel	Sulfuro
Samoa	Samoo
Oos	Oriento
Solomoneilande	Salomonoj
Vanuatu	Vanuatuo
Molière	Molière
Chloor	Kloro
Delft, Nederland	Delft
Papoea-Nieu-Guinee	Papuo-Nov-Gvineo
William Shakespeare	William Shakespeare
Suid-Holland	Suda Holando
Palau	Palaŭo
Argon	Argono
Nauru	Nauro
Mozilla Firefox	Mozilla Firefox
Noord-Holland	Norda Holando
Gefedereerde State van Mikronesië	Federacio de Mikronezio
Kalium	Kalio
Zeeland	Zelando
Kalsium	Kalcio
Flevoland	Flevolando
Lood	Plumbo
Marshalleilande	Marŝala Insularo
Kiribati	Kiribato
Mongolië	Mongolio
Fidji	Fiĝioj
Skandium	Skandio
Heilbronn	Hajlbrono
Titaan (element)	Titano (elemento)
Venezuela	Venezuelo
Skaak	Ŝako
Djengis Khan	Ĝingis-Ĥano
Vanadium	Vanado
Maine	Majno
Chroom	Kromo
Perd	Ĉevalo
Amsterdam	Amsterdamo
Gevegswapen	Armilo
Dier	Bestoj
Suriname	Surinamo
Mangaan	Mangano
Paraguay	Paragvajo
Guyana	Gujano
Kuns	Arto
Ecuador	Ekvadoro
Colombia	Kolombio
Kobalt	Kobalto
Wolfram	Volframo
Nikkel	Nikelo
Aarbei	Frago
Boeddhisme	Budhismo
Groningen (munisipaliteit)	Groningen (urbo)
Bolivië	Bolivio
Groningen (provinsie)	Groningen (provinco)
Koper	Kupro
Trinidad en Tobago	Trinidado kaj Tobago
Plant	Plantoj
