Afrika	Afriko
Japan	Japanio
Suamerika	Sudameriko
Norvegia	Norvegio
Bro-Saoz	Anglio
Bro-Skos	Skotlando
Kembre	Kimrio
Norzhiwerzhon	Nord-Irlando
Republik Iwerzhon	Irlando
Hungaria	Hungario
Spagn	Hispanio
Stadoù-Unanet Amerika	Usono
Belgia	Belgio
Luksembourg (bro)	Luksemburgo (lando)
Hollved	Universo
Douar (planedenn)	Tero
Buhez	Vivo
Marv	Morto
Den	Homo
George Washington	George Washington
Tim Berners-Lee	Tim Berners-Lee
Leet speak	Leet
Stanley Kubrick	Stanley Kubrick
Finland	Finnlando
Sveden	Svedio
Danmark	Danio
Polonia	Pollando
Lituania	Litovio
Italia	Italio
Suis	Svislando
Aostria	Aŭstrio
Gres (bro)	Grekio
Turkia	Turkio
Bier	Biero
Portugal	Portugalio
Europa (kevandir)	Eŭropo
Azia	Azio
Norzhamerika	Nordameriko
Antarktika	Antarkto
Wikipedia	Vikipedio
Izelvroioù	Nederlando
Kalc'h	Peniso
Lavar PHP	PHP
New York	Novjorko
Washington D.C.	Vaŝingtono
San Francisco (Kalifornia)	San-Francisko
Berlin	Berlino
Los Angeles (Kalifornia)	Los-Anĝeleso
Urzhiataer	Komputilo
Bern	Berno
Geneva	Ĝenevo
Zürich	Zuriko
IRC	Interreta relajsa babilo
Internet	Interreto
Barack Obama	Barack Obama
Uruguay	Urugvajo
Basel	Bazelo
Moullerez	Presilo
Londrez	Londono
Kaero	Kairo
Aleksandria	Aleksandrio
Alexandria (Virginia)	Alexandria (Virginio)
Aval	Pomo
Pariz	Parizo
Abraham Lincoln	Abraham Lincoln
Google	Google
Mec'hiko	Meksiko
Meurvor Atlantel	Atlantika Oceano
Meurvor Habask	Pacifika Oceano
Kalifornia	Kalifornio
Boston	Bostono
Lun (deiz)	Lundo
Egor	Spaco
Genver	Januaro
C'hwevrer	Februaro
Meurzh (miz)	Marto
Meurzh (planedenn)	Marso
Meurzh (doue)	Marso (dio)
Kenya	Kenjo
Etiopia	Etiopio
Ghana	Ganao
Ebrel	Aprilo
Mae	Majo
Mezheven	Junio
Gouere	Julio
Eost	Aŭgusto
Gwengolo	Septembro
Here	Oktobro
Du	Novembro
Kerzu	Decembro
Meurzh (deiz)	Mardo
Merc'her (deiz)	Merkredo
Yaou (deiz)	Ĵaŭdo
Gwener (deiz)	Vendredo
Sadorn (deiz)	Sabato
Sul (deiz)	Dimanĉo
Leon (loen)	Leono
Bro-C'hall	Francio
Esperanteg	Esperanto
Ki	Hundo
Rouantelezh-Unanet	Unuiĝinta Reĝlando
Kazh	Hejma kato
Republik Pobl Sina	Ĉina Popola Respubliko
Galleg	Franca lingvo
Wikeriadur	Vikivortaro
Pesk	Fiŝoj
Etanol	Etanolo
Brazil	Brazilo
Alkool	Alkoholo
François Hollande	François Hollande
Rusia	Rusio
Morvil	Cetacoj
Yorkshire	Jorkŝiro
Karrez	Kvadrato (geometrio)
Mor	Maro
Mor Du	Nigra Maro
Pi (lizherenn)	Pio (litero)
Mangez	Mango (frukto)
Wiki	Vikio
Toronto	Toronto
Alabama (stad)	Alabamo
São Paulo (kêr)	San-Paŭlo (urbo)
São Paulo (stad)	San-Paŭlo
Kebek	Kebekio
Pizza	Pico
Wikimedia Foundation	Fondaĵo Vikimedio
Jimmy Wales	Jimmy Wales
Alamagn	Germanio
Belarus	Belorusio
Alamaneg	Germana lingvo
Island	Islando
Doue	Dio
Estonia	Estonio
David Cameron	David Cameron
Sadorn (planedenn)	Saturno (planedo)
Chokolad	Ĉokolado
Kerez	Ĉerizo
Nijerez	Aviadilo
Brezel	Milito
Unan	1 (nombro)
Daou	2 (nombro)
Tri	3 (nombro)
Pevar	4 (nombro)
Stephen Harper	Stephen Harper
George Walker Bush	George W. Bush
Skouergorneg	Ortangulo
Latvia	Latvio
Ukraina	Ukrainio
