Afrika	Afriko
Japan	Japanio
Južna Amerika	Sudameriko
Norveška	Norvegio
Engleska	Anglio
Škotska	Skotlando
Vels	Kimrio
Sjeverna Irska	Nord-Irlando
Republika Irska	Irlando
Mađarska	Hungario
Španija	Hispanio
Sjedinjene Američke Države	Usono
Belgija	Belgio
Luksemburg	Luksemburgo (lando)
Svemir	Universo
Zemlja (planeta)	Tero
Život	Vivo
Smrt	Morto
Čovjek	Homo
Triskaidekafobija	Dektrifobio
George Washington	George Washington
Douglas Adams	Douglas Adams
Tim Berners-Lee	Tim Berners-Lee
Stanley Kubrick	Stanley Kubrick
Wikipodaci	Vikidatumoj
Finska	Finnlando
Švedska	Svedio
Danska	Danio
Poljska	Pollando
Litvanija	Litovio
Italija	Italio
Švicarska	Svislando
Austrija	Aŭstrio
Grčka	Grekio
Turska	Turkio
Pivo	Biero
Portugal	Portugalio
Evropa	Eŭropo
Azija	Azio
Sjeverna Amerika	Nordameriko
Antarktik	Antarkto
Wikipedia	Vikipedio
Holandija	Nederlando
Penis	Peniso
PHP	PHP
New York City	Novjorko
Washington, D.C.	Vaŝingtono
San Francisco	San-Francisko
Berlin	Berlino
Los Angeles	Los-Anĝeleso
Boeing	Boeing
Airbus	Airbus
Računar	Komputilo
Bern	Berno
Ženeva	Ĝenevo
Zürich (grad)	Zuriko
Internet Relay Chat	Interreta relajsa babilo
Internet	Interreto
Barack Obama	Barack Obama
Urugvaj	Urugvajo
Basel	Bazelo
Pisač	Presilo
MediaWiki	MediaVikio
London	Londono
Kairo	Kairo
Glavobolja	Kapdoloro
Aleksandrija	Aleksandrio
Jabuka	Pomo
Pariz	Parizo
Abraham Lincoln	Abraham Lincoln
Android (operativni sistem)	Android
Google	Google
Meksiko	Meksiko
Atlantski okean	Atlantika Oceano
Tihi okean	Pacifika Oceano
Kalifornija	Kalifornio
Boston	Bostono
Ponedjeljak	Lundo
Prostor	Spaco
Januar	Januaro
Februar	Februaro
Mart	Marto
Mars	Marso
Mars (mitologija)	Marso (dio)
Kenija	Kenjo
Etiopija	Etiopio
Gana	Ganao
April	Aprilo
Maj	Majo
Juni	Junio
Juli	Julio
August	Aŭgusto
Septembar	Septembro
Oktobar	Oktobro
Novembar	Novembro
Decembar	Decembro
Utorak	Mardo
Srijeda	Merkredo
Četvrtak	Ĵaŭdo
Petak	Vendredo
Subota	Sabato
Nedjelja	Dimanĉo
Lovac (šah)	Kuriero (ŝako)
Pješak (šah)	Peono (ŝako)
Skakač (šah)	Ĉevalo (ŝako)
Top (šah)	Turo (ŝako)
Kralj (šah)	Reĝo (ŝako)
Dama (šah)	Damo (ŝako)
Lav	Leono
Francuska	Francio
Esperanto	Esperanto
Domaći pas	Hundo
Ujedinjeno Kraljevstvo	Unuiĝinta Reĝlando
Mačka	Hejma kato
Narodna Republika Kina	Ĉina Popola Respubliko
Francuski jezik	Franca lingvo
Ribe	Fiŝoj
Etanol	Etanolo
Alkoholno piće	Alkoholaĵo
Brazil	Brazilo
Alkohol	Alkoholo
François Hollande	François Hollande
Rusija	Rusio
Cetacea	Cetacoj
Optičko vlakno	Optika fibro
Kvadrat	Kvadrato (geometrio)
More	Maro
Crno more	Nigra Maro
Pi	Pi (nombro)
Wiki	Vikio
Toronto	Toronto
Alabama	Alabamo
São Paulo	San-Paŭlo (urbo)
Québec	Kebekio
Pizza	Pico
Boeing 747	Boeing 747
Jimmy Wales	Jimmy Wales
Njemačka	Germanio
Bjelorusija	Belorusio
Il Canto degli Italiani	Il Canto degli Italiani
Njemački jezik	Germana lingvo
Island	Islando
Bog	Dio
Estonija	Estonio
David Cameron	David Cameron
Saturn	Saturno (planedo)
Saturnovi prstenovi	Ringoj de Saturno
Čokolada	Ĉokolado
Avion	Aviadilo
Rat	Milito
1 (broj)	1 (nombro)
3 (broj)	3 (nombro)
4 (broj)	4 (nombro)
0 (broj)	Nulo
Beskonačnost	Senfineco
George W. Bush	George W. Bush
Pravougaonik	Ortangulo
Pravi ugao	Orto
Latvija	Latvio
Ukrajina	Ukrainio
Češka	Ĉeĥio
Slovačka	Slovakio
Slovenija	Slovenio
Vilnius	Vilno
Moldavija	Moldava Respubliko
Rumunija	Rumanio
Bugarska	Bulgario
Rim	Romo
Makedonija	Respubliko Makedonio
Albanija	Albanio
Grenland	Gronlando
Hrvatska	Kroatio
Bosna i Hercegovina	Bosnio kaj Hercegovino
Nuuk	Nuko (Gronlando)
Azerbejdžan	Azerbajĝano
Andora	Andoro
Kipar	Kipro
Gruzija	Kartvelio
Valonija	Valonio
Kazahstan	Kazaĥio
Malta	Malto
Flandrija	Flandrio
Monako	Monako
Crna Gora	Montenegro
Vatikan	Vatikano
San Marino	San-Marino
Bruxelles	Bruselo
Regija glavnog grada Bruxellesa	Brusela Ĉefurba Regiono
Kuba	Kubo
Beliz	Belizo
Eiffelov toranj	Eiffel-Turo
Barbados	Barbado
Volkswagen	Volkswagen
Intel	Intel
Tastatura	Komputila klavaro
Java (programski jezik)	Java (programlingvo)
Indonezija	Indonezio
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Turski jezik	Turka lingvo
Južnoafrička Republika	Sud-Afriko
Jean-François Champollion	Jean-François Champollion
Linkin Park	Linkin Park
Alžir	Alĝerio
Uzbekistan	Uzbekujo
Taškent	Taŝkento
Varšava	Varsovio
Eurovision Song Contest	Eŭrovido-Kantokonkurso
Modena	Modeno
Viski	Viskio
Vino	Vino
Voda	Akvo
Koža (materijal)	Ledo
Drvo (materijal)	Ligno
Televizija	Televido
Spol	Sekso
Pornografija	Pornografio
Islandski jezik	Islanda lingvo
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez
Čile	Ĉilio
El Greco	El Greco
Isus	Jesuo Kristo
Elvis Presley	Elvis Presley
Sebastián Piñera	Sebastián Piñera
Galileo Galilei	Galilejo
Merkur	Merkuro (planedo)
Historija	Historio
Groblje Père-Lachaise	Tombejo Père-Lachaise
Apple Inc.	Apple
Venera	Venuso (planedo)
Jezik	Lingvo
Ljubav	Amo
Diktatura	Diktatoreco
Galaksija	Galaksio
Jupiter	Jupitero (planedo)
Michelle Bachelet	Michelle Bachelet
Mliječni put	Lakta vojo
Veliki prasak	Praeksplodo
Uran (planeta)	Urano (planedo)
Bretagne	Bretonio
Nicolas Sarkozy	Nicolas Sarkozy
Neptun	Neptuno (planedo)
Astronomija	Astronomio
Singapur	Singapuro
Nauka	Scienco
Kosmologija	Kosmologio
Pluton	Plutono
Montréal	Montrealo
Slobodni softver	Libera programaro
Budućnost	Estonteco
Luj IX, kralj Francuske	Ludoviko la 9-a (Francio)
Lihtenštajn	Liĥtenŝtejno
Sport	Sporto
Cambridge	Kembriĝo (Britio)
Adolf Hitler	Adolf Hitler
Facebook	Facebook
Spomenik kulture	Protektita monumento
WikiLeaks	WikiLeaks
Julian Assange	Julian Assange
Prvi svjetski rat	Unua mondmilito
Drugi svjetski rat	Dua mondmilito
Köln	Kolonjo
Korupcija	Korupto
Augusto Pinochet	Augusto Pinochet
Vodka	Vodko
Sat (instrument)	Horloĝo
Ubuntu (operativni sistem)	Ubuntu (linukso)
Skoplje	Skopjo
Linux	Linukso
Bob Dylan	Bob Dylan
Szczecin	Szczecin
Matematika	Matematiko
U2 (grupa)	U2
Latinski jezik	Latina lingvo
Bahrein	Barejno
Ermenija	Armenio
Klinasto pismo	Kojnoskribo
Higgsov bozon	Bosono de Higgs
Srbija	Serbio
Mjesec (satelit)	Luno
Istanbul	Istanbulo
Australija	Aŭstralio
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Astrobiologija	Astrobiologio
Fizika	Fiziko
Argentina	Argentino
Telekomunikacije	Telekomunikado
Peru	Peruo
Biologija	Biologio
NLO	Nifo
Sjeverna Koreja	Nord-Koreio
Kambodža	Kamboĝo
Kuiperov pojas	Kujper-zono
Kur'an	Korano
Dinosaurusi	Dinosaŭro
Zoologija	Bestoscienco
Islam	Islamo
Kruška	Pirarbo
Ljubljana	Ljubljano
Salvador Allende	Salvador Allende
Botanika	Plantoscienco
Lech Wałęsa	Lech Wałęsa
Točak	Rado
Denis Diderot	Denis Diderot
Um	Menso
Mir (stanje)	Paco
Encyclopædia Britannica	Encyclopaedia Britannica
Lyon	Liono
Evropska unija	Eŭropa Unio
Ratovi zvijezda	Star Wars
World Wide Web	TTT
Žena	Virino
Sofija	Sofio
Akvadukt	Akvedukto
Don Quijote	Kiĥoto
Poezija	Poezio
Računarski virus	Komputviruso
Černobilska katastrofa	Nuklea akcidento de Ĉernobilo
Milano	Milano
Memorija (biologija)	Memoro
Arthur Rimbaud	Arthur Rimbaud
Torino	Torino
Izmet	Fekaĵo
Anus	Anuso
Limun	Citrono
Charles Baudelaire	Charles Baudelaire
Stendhal	Stendhal
Banana	Banano
Émile Zola	Émile Zola
666.	666
Cvijet	Floro
Gugol	Guglo
Googolplex	Gugloplekso
Marijanska brazda	Mariana Fosego
Vladimir Visocki	Vladimir Visockij
Mount Everest	Ĉomolungmo
Anatomija	Anatomio
Grad (naseljeno mjesto)	Urbo
Napoléon Bonaparte	Napoleono Bonaparte
Fiziologija	Fiziologio
Zvijezda	Stelo
Vezuv	Vezuvio
Sunce	Suno
Nebo	Ĉielo
Louis Pasteur	Louis Pasteur
Svjetlosna godina	Lumjaro
Selo	Vilaĝo
Victor Hugo	Victor Hugo
Okeanija	Oceanio
Giuseppe Garibaldi	Giuseppe Garibaldi
Atletika	Atletiko
Cenzura	Cenzuro
Sunčev sistem	Sunsistemo
Baltičko more	Balta Maro
Trst	Triesto
Visla	Vistulo
Elizejske poljane (Pariz)	Avenuo de la Elizeaj Kampoj
Odra	Odro
Zub	Dento
Vodik	Hidrogeno
Helij	Heliumo
Pakao	Infero
Wikimedia Commons	Vikimedia Komunejo
Angela Merkel	Angela Merkel
Litij	Litio
Berilij	Berilio
Knjiga	Libro
Dan	Tago
Istočni Timor	Orienta Timoro
Godina	Jaro
Vijek	Jarcento
Mont Blanc	Blanka Monto
Rajna	Rejno
Oslo	Oslo
Bonn	Bonn
Svi Sveti	Ĉiuj Sanktuloj
Katowice	Katowice
Crna rupa	Nigra truo
Luís de Camões	Luís Vaz de Camões
Cerera (patuljasta planeta)	Cereso
Lisabon	Lisbono
Rona	Rodano
Seks	Seksumado
Erida (patuljasta planeta)	Eriso
Dubai	Dubajurbo
Dubai (emirat)	Dubajo
Lionel Messi	Lionel Messi
Padova	Padovo
Bor (element)	Boro
Nikola Kopernik	Koperniko
Versailles	Versailles
Ugljik	Karbono
Alessandro Del Piero	Alessandro del Piero
Volga	Volgo
Dušik	Nitrogeno
Kisik	Oksigeno
FC Inter Milano	Inter Milano
Planeta	Planedo
Kleopatra VII	Kleopatra
Muzika	Muziko
Venecija	Venecio
Po	Pado
Moskva	Moskvo
Fluor	Fluoro
Italijanski jezik	Itala lingvo
Neon	Neono
Sankt Peterburg	Sankt-Peterburgo
Čad	Ĉado
Natrij	Natrio
Sjever	Nordo
Magnezij	Magnezio
Hidraulični ovan	Ŝafofrapa pumpilo
Aluminij	Aluminio
Novi Zeland	Nov-Zelando
Jug	Sudo
Indija	Barato
Silicij	Silicio
Francij	Franciumo
Tuvalu	Tuvalo
Fosfor	Fosforo
André-Marie Ampère	André-Marie Ampère
Proza	Prozo
Željezo	Fero
Tonga	Tongo
Zapad	Okcidento
Alessandro Volta	Alessandro Volta
Sumpor	Sulfuro
Samoa	Samoo
Istok	Oriento
Solomonska Ostrva	Salomonoj
Vanuatu	Vanuatuo
Molière	Molière
Hlor	Kloro
Papua Nova Gvineja	Papuo-Nov-Gvineo
William Shakespeare	William Shakespeare
Basna	Fablo
Palau	Palaŭo
Argon	Argono
Nauru	Nauro
Mozilla Firefox	Mozilla Firefox
Savezne Države Mikronezije	Federacio de Mikronezio
Kalij	Kalio
Kalcij	Kalcio
Olovo (element)	Plumbo
Maršalska Ostrva	Marŝala Insularo
Kiribati	Kiribato
Mongolija	Mongolio
Fidži	Fiĝioj
Skandij	Skandio
Titanij	Titano (elemento)
Venecuela	Venezuelo
Šah	Ŝako
Džingis-kan	Ĝingis-Ĥano
Vanadij	Vanado
Maine	Majno
Hrom	Kromo
Konj	Ĉevalo
Amsterdam	Amsterdamo
Oružje	Armilo
Životinje	Bestoj
Surinam	Surinamo
Mangan	Mangano
Paragvaj	Paragvajo
Gvajana	Gujano
Umjetnost	Arto
Ekvador	Ekvadoro
Renij	Renio
Kolumbija	Kolombio
Kobalt	Kobalto
Jean Racine	Jean Racine
Volfram	Volframo
Nikl	Nikelo
Jagoda	Frago
Pierre Corneille	Pierre Corneille
Budizam	Budhismo
Bolivija	Bolivio
Osmij	Osmio
Bakar	Kupro
Trinidad i Tobago	Trinidado kaj Tobago
Paul Verlaine	Paul Verlaine
Biljke	Plantoj
Sveti Vincent i Grenadini	Sankta Vincento kaj Grenadinoj
Cink	Zinko
New Hampshire	Nov-Hampŝiro
Sveta Lucija	Sankta Lucio
Białystok	Bjalistoko
Leonardo da Vinci	Leonardo da Vinci
Sveti Kristofor i Nevis	Sankta-Kito kaj Neviso
Gljive	Fungoj
Dario Fo	Dario Fo
Jamajka	Jamajko
