ᎬᎿᎦᏍᏛ	Afriko
ᏣᏩᏂᏏ	Japanio
ᏧᎦᎾᏮ ᎠᎹᏰᏟ	Sudameriko
ᎠᏂᏍᏆᏂᏱ	Hispanio
ᏌᏊᎢᏳᎾᎵᏍᏔᏅᏍᎦᏚᎩ ᎾᎿ ᎠᎺᏰᏟ	Usono
ᏇᎵᏥᎥᎻ	Belgio
ᎡᎶᎯ	Tero
ᏣᏥ ᏩᏒᏓᎾ	George Washington
ᏫᏂᎦᏙᎯ	Finnlando
ᏍᏫᏕᏂ	Svedio
ᏗᏂᎹᎦ	Danio
ᏉᎳᏂ	Pollando
ᎢᏔᎵ	Italio
ᏍᏫᏍ	Svislando
ᎠᏍᏟᏯ	Aŭstrio
ᎪᎢᎯ	Grekio
ᎬᏃ	Turkio
ᏉᏥᎦᎳ	Portugalio
ᏳᎳᏛ	Eŭropo
ᏓᎶᏂᎦᏍᏛ	Azio
ᏧᏴᏢ ᎠᎹᏰᏟ	Nordameriko
ᏧᏁᏍᏓᎸ	Antarkto
ᏫᎩᏇᏗᏯ	Vikipedio
ᎾᏍᎩ ᏁᏛᎳᏂ	Nederlando
ᏩᏙᎵ	Peniso
ᏄᏯᎩ BMX	Novjorko
ᏆᎳᎩ ᎣᏆᎹ	Barack Obama
ᎫᎴ ᏗᏍᎪᏂᎯᏱ	Londono
ᏒᎦᏔ	Pomo
ᎺᏏᎪ	Meksiko
ᎤᏃᎸᏔᏅ	Januaro
ᎧᎦᎵ	Februaro
ᎠᎾᏱᎵᏒ	Marto
ᎹᏏ	Marso
ᎫᏬᏂ	Aprilo
ᎠᎾᏍᎬᏘ	Majo
ᏕᎭᎷᏱ	Junio
ᎫᏰᏉᏂ	Julio
ᎦᎶᏂ	Aŭgusto
ᏚᎵᏍᏗ	Septembro
ᏚᏂᏃᏗ	Oktobro
ᏅᏓᏕᏆ	Novembro
ᎥᏍᎩᏱ	Decembro
ᏢᏓᏥ ᎤᏃᏕᎾ	Leono
ᎩᏟ	Hundo
ᎩᎵᏏᏲ	Unuiĝinta Reĝlando
ᏪᏌ	Hejma kato
ᏓᎶᏂᎨᏍᏛ	Ĉina Popola Respubliko
ᎠᏣᏗ	Fiŝoj
ᏆᏏᎵ	Brazilo
ᏲᏂᎢ	Rusio
Cetacea	Cetacoj
ᎠᏛᏥ	Germanio
ᏇᎳᎷᏍ	Belorusio
ᎠᏂᏛᏥ ᎦᏬᏂᎯᏍᏗ	Germana lingvo
ᏧᏁᏍᏓᎸᎯ	Islando
ᎡᏍᏙᏂᏯ	Estonio
ᏌᏓᏂ	Saturno (planedo)
ᏣᏥ ᎡᏙᎯ ᏊᏏ	George W. Bush
ᏳᎧᎴᏂ	Ukrainio
ᏤᎩ ᏍᎦᏚᎩ	Ĉeĥio
ᎹᎵᏙᏫᎠ	Moldava Respubliko
ᎶᎹᏂᏯ	Rumanio
ᎹᏏᏙᏂᎢᎠ	Respubliko Makedonio
ᎠᎵᏇᏂᏯ	Albanio
ᎢᏤᎢᏳᏍᏗ ᎦᏙᎯ	Gronlando
ᏆᏍᏂᏯ ᎠᎴ ᎲᏤᎪᏫᎾ	Bosnio kaj Hercegovino
ᎠᏏᎵᏆᏌᏂ	Azerbajĝano
ᎠᏂᏙᎳ	Andoro
ᎧᏌᎩᏍᏔᏂ	Kazaĥio
ᎢᏂᏙᏂᏍᏯ	Indonezio
ᎠᏂᎬᎾ ᎧᏬᏂᎯᏍᏗ	Turka lingvo
ᎤᏍᏇᎩᏍᏖᏂ	Uzbekujo
ᎠᎹ	Akvo
ᎦᏃᏥ	Ledo
ᎠᏓ	Ligno
ᏥᎵ	Ĉilio
ᎹᎫᎵ	Merkuro (planedo)
ᎠᎾᏂᏍᏓᎾᎵ	Venuso (planedo)
ᎦᏬᏂᎯᏍᏗ	Lingvo
ᏧᏈᏓ	Jupitero (planedo)
ᏳᏪᏅᏍ	Urano (planedo)
ᏁᏩᏚᏂ	Neptuno (planedo)
ᏡᏙ	Plutono
ᎠᏂᎶᎻ ᎦᏬᏂᎯᏍᏗ	Latina lingvo
ᎠᎵᎻᏂᎠ	Armenio
ᏒᏈᏯ	Serbio
ᎡᎳᏗᏜ	Aŭstralio
ᏘᏲᎭᎵ ᎡᏆ	Dinosaŭro
ᏎᏗᏳᏍᏗ ᏒᎦᏔ	Pirarbo
ᏅᏩᏙ ᎯᏯᏛ	Paco
Star Wars	Star Wars
ᎴᎹᏂ	Citrono
ᏆᏁᎾ	Banano
ᎦᏚᎲᎢ	Urbo
Napoleon	Napoleono Bonaparte
ᏃᏈᏏ	Stelo
ᏅᏓ	Suno
ᎦᎷᎾᏗ	Ĉielo
ᏅᏓ ᎠᎴ ᏚᏓᏕᏫᏍᏛ	Sunsistemo
ᎦᏌᎧᎯᎨ ᎤᏃᎴ	Heliumo
ᎵᏘᎥᎻ	Litio
ᏇᎵᎵᎥᎻ	Berilio
ᎪᏪᎵ	Libro
ᏒᏃᏱ	Nokto
ᎤᎦᏔ ᏅᏓᏳᏓᎴᏅ ᏬᏗᎨ	Karbono
ᎾᎢᏠᏤᏂ	Nitrogeno
ᏗᎧᏃᎩᏛ	Muziko
ᏩᎶᏫᏂ	Fluoro
ᏥᏩᏩ	Chihuahua
ᎦᏌᎧ ᏔᎷᎩᏍᎩ	Aluminio
ᎢᏂᏗᎢᎠ	Barato
ᏔᎷᎩᏍᎩ	Fero
ᏉᏔᏏᎥᎻ	Kalio
ᎪᎳ ᏗᏝᏂᎪᎯᏍᏗᏍᎩ	Kalcio
ᎦᏂ	Plumbo
ᎹᏂᎪᎵᎠ	Mongolio
ᏔᎢᏖᏂᎥᎻ	Titano (elemento)
ᏩᏁᏗᎥᎻ	Vanado
ᏐᏈᎵ	Ĉevalo
ᎦᏂᏝᎢ	Bestoj
ᏉᎵᏫᎠ	Bolivio
ᎥᏣᏱ	Kupro
ᎩᎵᏣᎢᏍ	Kirgizio
ᏩᎧ	Bovo
ᏔᏥᎩᏍᏕᏂ	Taĝikio
ᏉᎨᎼᏂ	Pokemono
ᏔᏯᎴᏂ	Tajlando
ᎠᎢᎵᏗᏴᎻ	Iridio
ᏝᏘᏅᎻ	Plateno
ᏧᎦᎾᏮ ᎪᎵᎠ	Sud-Koreio
ᎠᏕᎸ ᏓᎶᏂᎨ	Oro
ᎠᏂᏉᎵᏍ	Poloj
Julius Caesar	Julio Cezaro
ᎤᏅᏉᎳᏛ	Ĉielarko
ᎠᏑᏫᏍᏗ	Koloro
ᎠᏕᎸ ᎤᏁᎦ	Arĝento
ᏔᎷᎩᏍᎩᏳᏍᏗ	Stano
ᏳᏪᏂᎥᎻ	Uranio
ᏡᏙᏂᎥᎻ	Plutonio
ᏁᏩᏚᏂᎥᎻ	Neptunio
ᏇᎵᎥᎻ	Bario
ᏍᏆᏂ ᎧᏬᏂᎯᏍᏗ	Hispana lingvo
Johann Sebastian Bach	Johann Sebastian Bach
ᎧᎿᏁᏍᎩ	Araneuloj
ᎠᏓᎵᏍᎩᏱᏍᎩ	Simio
ᎠᏕᎳ	Mono
ᏄᏯᎩ	Nov-Jorkio
ᏳᎳᏈᎥᎻ	Eŭropio
Augustus	Aŭgusto Cezaro
Trajan	Trajano
ᏙᎩᏲ	Tokio
ᏍᏆᏂᏤᏍᏛᎢ	Nov-Meksiko
ᎣᎦᎳᎰᎹ	Oklahomo
ᏗᎦᎳᏫᏍᏗ ᏥᏌᏯ	Vera Eklezio de Jesuo
ᎩᎵᏏ ᎦᏬᏂᎯᏍᏗ	Angla lingvo
ᎠᎺᎵᏏᏯᎻ	Americio
ᎠᏔᏩ, ᎨᎾᏓ	Otavo
ᎠᏤᏙ	Ĝakarto
Wikipedia:ᏃᏯᎭ ᎧᏁᏌᎢ	Vikipedio:Provejo
ᎤᏪᏴ	Rivero
ᎠᎧᏔᏘ	Teleskopo
ᎫᎵᏘᎦ	Kuritibo
ᏌᎶᎵ	Rufa sciuro
ᎠᏙᎯ ᎢᎾᎨ	Arbaro
ᎪᏈᏂ ᏌᎪᏂᎨ	Corbin Bleu
ᏧᏈᏓ (ᎤᏁᎳᏅᎯ)	Jupitero (dio)
ᏳᎳᏛ ᎠᏕᎳ	Eŭro
ᎡᏆ ᎦᏙᎯ	Kontinento
ᎯᎸᏍᎩ ᏥᏍᏆ	Birdoj
ᏏᏅᏙ	Monato
