Mo'hetaneho'e	Afriko
Norway	Norvegio
Ireland (Republic)	Irlando
Spain	Hispanio
United States	Usono
Poland	Pollando
Lithuania	Litovio
Italy	Italio
Switzerland	Svislando
Austria	Aŭstrio
Turkey	Turkio
Héesevo'tamahpe	Biero
Hóxovê-hooma	Eŭropo
Asia	Azio
Wikipedia	Vikipedio
Netherlands	Nederlando
Vášêtaëno	Vaŝingtono
San Francisco	San-Francisko
Los Angeles	Los-Anĝeleso
Tséohketoetanóto	Komputilo
Netse Ôhmo'ôhtávaestse	Barack Obama
Má'xeme	Pomo
Paris	Parizo
Mé'šeeséve'ho'évenó	Meksiko
California	Kalifornio
Péhpe'énanóse'hame	Leono
France	Francio
Oeškese	Hundo
United Kingdom	Unuiĝinta Reĝlando
China (People's Republic of China)	Ĉina Popola Respubliko
Manestôtse	Alkoholaĵo
Russia	Rusio
Ma'evé'ho'éno	Germanio
Ame'hahtôtse'	Aviadilo
Ukraine	Ukrainio
Czechia	Ĉeĥio
Slovakia	Slovakio
Slovenia	Slovenio
Roma	Romo
Croatia	Kroatio
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Mo'hetaneho'e hánêsóvóne	Sud-Afriko
Mahpe	Akvo
Chile	Ĉilio
Serbia	Serbio
Taa'é-eše'he	Luno
Tsésáa-nanóhehane ame'hahtôtse	Nifo
Vé'ôhkêheóvemá'xeme	Citrono
Vóhka'émene	Banano
Hotohke	Stelo
Éše'he	Suno
Chihuahua	Chihuahua
Tonga	Tongo
Nauru	Nauro
Mo'éhno'ha	Ĉevalo
Hova	Bestoj
Kokêhéaxa	Koko
Arizona	Arizono
Amérika	Ameriko
Utah	Utaho
Republic of China	Respubliko Ĉinio
Ma'aataemeo'o	Trajno
Vietnam	Vjetnamio
Véhone-ma'kaata	Oro
Tanzania	Tanzanio
Zambia	Zambio
Zimbabwe	Zimbabvo
Republic of the Congo	Respubliko Kongo
Democratic Republic of the Congo	Demokratia Respubliko Kongo
Madagascar	Madagaskaro
Malawi	Malavio
Namibia	Namibio
Julius Caesar	Julio Cezaro
South Dakota	Suda Dakoto
Ho'honáéšé'e	Montano
Wyoming	Vajomingo
Nevada	Nevado
Colorado	Koloradio
Category:Wikipedia content	Kategorio:Ĉio
Chicago	Ĉikago
Mene	Frukto
Mákohe	Simio
Meškêso	Insekto
Amâho'hestôtse	Aŭtomobilo
Toháano'ého'ëva	Teksaso
Buenos Aires	Bonaero
Barcelona	Barcelono
Šéstotó'emeno	Ananaso
Ma'xeé'ome'tää'e	Misisipo (rivero)
Caracas	Karakaso
Nebraska	Nebrasko
Kansas	Kansaso
Heévȧhetanéno	Oklahomo
Ma'heónemôxe'êstoo'o	Biblio
Ho Chi Minh City	Ho-Ĉi-Min-urbo
Dong Hoi	Dong Hoi
Concepción	Koncepciono
Še'šenovôtse	Serpento
Madrid	Madrido
Santiago (Chile)	Santiago de Ĉilio
Mé'hahtsékósa	Hejma kapro
Ho'ësta	Fajro
Antofagasta	Antofagasta (urbo)
Brazzaville	Brazavilo
Copiapó	Copiapó (urbo)
Moxe'estonemaheo'o	Lernejo
Oomâhóoné-mâhéó'o	Domo
Ó'he'e	Rivero
Eschweiler	Eschweiler
Dong Hoi Airport	Flughaveno Dong Hoi
Curitiba	Kuritibo
Talca	Talkao
Corbin Bleu	Corbin Bleu
Vôhe'so	Nesto
Ve'kese	Birdoj
Almazán	Almazán
Va'ohtama	Vikipedio:Ĉefpaĝo
Hohtsemo	Korbopilkado
Ho'honáá'e Tsé'amoo'êse	Roka Montaro
Hóoma	Litkovrilo
Category:Candidates for speedy deletion	Kategorio:Tujforigendaj artikoloj
Véhpotséhohpe	Teo
Axenôhonestôtse	Gitaro
Hotohke tséana'ôhtse	Meteoroido
Mâhtovoo'ôtse	Orelo
Kosa	Ŝafo
Pa'e'pa'onáhe	Kamelo
Tsêhe'êseeséhe	Elefanto
Háhnoma	Abelo
Hésta'se	Neĝo
Ka'êškone	Infano
Kóhkonêhëö'o	Pano
O'êhnémâhéó'o	Necesejo
Nelson Mandela	Nelson Mandela
Vo'e	Nubo
Ma'xêhevovetäso	Tornado (ŝtormo)
Mahpe hevovetäso	Uragano
Category:Némenestôtse	Kategorio:Muziko
Mó'soonêó'he'e	Arkansaso (rivero)
Ma'êhóóhe	Ruĝa vulpo
Mo'ôhtávêhohpe	Kafo
Matana	Lakto
Bilbao	Bilbao
Sevilla	Sevilo
Valencia	Valencio
Vohkoohe	Kuniklo
No'kéeho	Sciuredoj
Ronald Reagan	Ronald Reagan
Éškôseeséhotame	Suo
Hoohtsêstse	Arbo
Hohpâháa'éheme	Vinbero
Háhnomápano'êhasëö	Mielo
Aéstomemésêhestôtse	Terpomo
Vé'keemahpe	Sukero
Hóo'xevávôxe'êstoo'o	Gazeto
Aseéestsestôtse	Telefono
Lugo	Lugo (Hispanio)
Vóhpoma'ôhtse	Salo
Onéhavo'e	Tamburo
Amo'a'óvâhtsestôtse	Biciklo
Vóhpeeva	Kotono
Môxe'êstoo'o	Papero
Ová'kemâhaemenôtse	Maizo
Náhkohe	Urso
Hoéstoneéše'he	Kalendaro
E'kôsé'haseo'o	Patkuko
Hóxovôho'o	Ponto
Jalisco	Jalisco
Hohpâhtsenámenôtse	Sekvinbero
Tsétóno	Glaciaĵo
