ᑭᐦᒋ ᒨᐦᑯᒫᓇᐢᑭᕀ	Usono
ᐃᑕᓖ	Italio
ᑐᕒᑭ	Turkio
Atimw	Hundo
ᐱᔥᑎᑯᔮᐤ ᐊᔨᒧᐎᓐ	Franca lingvo
ᓇᒣᔅ	Fiŝoj
ᑯᐯᒃ	Kebekio
ᓃᐲᔾ	Akvo
Wikipedia:Archives/ᐲᔖᑲᓐ	Ledo
Star Wars	Star Wars
ᒌᔑᑳᐅᐲᓯᒽ	Suno
ᐱᓯᐢᑭᐤ	Bestoj
ᐅᐲᑭᒋᑳᓇ	Plantoj
Wikipedia:Archives/ᑳᔭᒦᒪᑲᐦᒡ	Radiofonio
ᑭᑲᓯᑲᒋ ᑌᐊᐁᓭᐊᕃ	Julio Cezaro
Itasinâsowin	Koloro
Estakok miroskamin	Printempo
Nipin	Somero
Takwakin	Aŭtuno
Wikipedia:Archives/ᕆᒧᔅᑭ	Rimouski
Wikipedia:Archives/ᐅᒑᐹᓂᔥ	Aŭtomobilo
ᐧᐁᒥᔥᑎᑯᔒᐤ ᐊᔨᒧᐧᐃᓐ	Angla lingvo
ᐅᓐᑌᕇᐤ	Ontario
ᒪᓂᑐᐸ	Manitobo
Category:Template	Kategorio:Vikipedio:Ŝablonoj
Wikipedia:Archives/ᐅᓴᔅᑯ	Osasco (San-Paŭlo)
ᑯᓐᕗᓯ	Konfuceo
ᓃᔥᑕᒻᐹᔅᑌᒋᓂᑲᓐ	Vikipedio:Ĉefpaĝo
Category:Candidates for speedy deletion	Kategorio:Tujforigendaj artikoloj
ᐲᐧᓭᐋᐃᐦᑯᓈᐤ	Pano
Wikipedia:Archives/ᒎᒎᔑᓈᐴ	Lakto
ᐧᐊᔒ	Monto
ᑕᐧᔐᔫᓂᑯᒑᔥ	Flugsciuro
ᒥᔥᑎᒄ	Arbo
Wikipedia:Archives/ᑳᒋᐦᑳᔥᑌᐦᑎᐦᒡ	Filmo
Template:Link FA	Ŝablono:LigoElstara
ᑳᐅᔅᑎᐦᑖᑯᓂᒋᐸᐦᑖᑦ	Motorsledo
ᒪᐦᐃᐦᑲᓐ	Lupo
Wikipedia:Archives/ᐯᔭᑯᔥᑌᐤ	9 (nombro)
Wikipedia:Archives/ᒪᔅᒋᓯᓐ	Ŝuo
Wikipedia:Archives/ᓃᐧᔖᔥᒡ	7 (nombro)
