An Afraic	Afriko
An tSeapáin	Japanio
Meiriceá Theas	Sudameriko
An Iorua	Norvegio
Sasana	Anglio
Albain	Skotlando
An Bhreatain Bheag	Kimrio
Tuaisceart Éireann	Nord-Irlando
Poblacht na hÉireann	Irlando
An Ungáir	Hungario
An Spáinn	Hispanio
Stáit Aontaithe Mheiriceá	Usono
An Bheilg	Belgio
Lucsamburg	Luksemburgo (lando)
An Chruinne	Universo
An Domhan	Tero
Beatha	Vivo
Bás	Morto
Duine	Homo
George Washington	George Washington
Douglas Adams	Douglas Adams
Tim Berners-Lee	Tim Berners-Lee
An Fhionlainn	Finnlando
An tSualainn	Svedio
An Danmhairg	Danio
An Pholainn	Pollando
An Liotuáin	Litovio
An Iodáil	Italio
An Eilvéis	Svislando
An Ostair	Aŭstrio
An Ghréig	Grekio
An Tuirc	Turkio
Beoir	Biero
An Phortaingéil	Portugalio
An Eoraip	Eŭropo
An Áise	Azio
Meiriceá Thuaidh	Nordameriko
Antartaice	Antarkto
Vicipéid	Vikipedio
An Ísiltír	Nederlando
Bod	Peniso
Nua-Eabhrac (cathair)	Novjorko
Washington, D.C.	Vaŝingtono
San Francisco	San-Francisko
Beirlín	Berlino
Los Angeles	Los-Anĝeleso
Boeing	Boeing
Ríomhaire	Komputilo
Beirn	Berno
An Ghinéiv	Ĝenevo
Zürich	Zuriko
Idirlíon	Interreto
Barack Obama	Barack Obama
Uragua	Urugvajo
Basel	Bazelo
Clóire	Presilo
MediaWiki	MediaVikio
Londain	Londono
Caireo	Kairo
Tinneas cinn	Kapdoloro
Cathair Alastair	Aleksandrio
Alexandria, Virginia	Alexandria (Virginio)
Úll	Pomo
Páras	Parizo
Abraham Lincoln	Abraham Lincoln
Android	Android
Google	Google
Meicsiceo	Meksiko
An tAigéan Atlantach	Atlantika Oceano
An tAigéan Ciúin	Pacifika Oceano
California	Kalifornio
Bostún	Bostono
An Luan	Lundo
An tEanáir	Januaro
An Fheabhra	Februaro
An Márta	Marto
Mars (pláinéad)	Marso
An Chéinia	Kenjo
An Aetóip	Etiopio
Gána	Ganao
An tAibreán	Aprilo
An Bhealtaine	Majo
An Meitheamh	Junio
Iúil	Julio
An Lúnasa	Aŭgusto
Meán Fómhair	Septembro
Deireadh Fómhair	Oktobro
An tSamhain	Novembro
Mí na Nollag	Decembro
An Mháirt	Mardo
An Chéadaoin	Merkredo
Déardaoin	Ĵaŭdo
An Aoine	Vendredo
An Satharn	Sabato
An Domhnach	Dimanĉo
Leon	Leono
An Fhrainc	Francio
Esperanto	Esperanto
Madra	Hundo
An Ríocht Aontaithe	Unuiĝinta Reĝlando
Cat	Hejma kato
Daon-Phoblacht na Síne	Ĉina Popola Respubliko
An Fhraincis	Franca lingvo
