非洲	Afriko
日本	Japanio
南美洲	Sudameriko
挪威	Norvegio
愛爾蘭	Irlando
西班牙	Hispanio
美國	Usono
地球	Tero
過世	Morto
人	Homo
幸福	Feliĉo
喬治·華盛頓	George Washington
芬蘭	Finnlando
瑞典	Svedio
丹麥	Danio
波蘭	Pollando
意大利	Italio
希臘	Grekio
土耳其	Turkio
啤酒	Biero
歐洲	Eŭropo
亞洲	Azio
北美洲	Nordameriko
南極洲	Antarkto
維基百科	Vikipedio
荷蘭	Nederlando
卵	Peniso
紐約市	Novjorko
華盛頓哥倫比亞特區	Vaŝingtono
舊金山	San-Francisko
柏林	Berlino
洛杉磯	Los-Anĝeleso
電腦	Komputilo
互聯網	Interreto
奧巴馬	Barack Obama
倫敦	Londono
蘋果	Pomo
巴黎	Parizo
亞伯拉罕·林肯	Abraham Lincoln
Google	Google
墨西哥	Meksiko
大西洋	Atlantika Oceano
太平洋	Pacifika Oceano
加利福尼亞州	Kalifornio
波士頓	Bostono
禮拜一	Lundo
一月	Januaro
二月	Februaro
三月	Marto
火星	Marso
埃塞俄比亞	Etiopio
4月	Aprilo
5月	Majo
六月	Junio
七月	Julio
八月	Aŭgusto
九月	Septembro
十月	Oktobro
十一月	Novembro
十二月	Decembro
禮拜二	Mardo
禮拜三	Merkredo
禮拜四	Ĵaŭdo
禮拜五	Vendredo
禮拜六	Sabato
禮拜天	Dimanĉo
法國	Francio
狗	Hundo
英國	Unuiĝinta Reĝlando
貓	Hejma kato
中華人民共和國	Ĉina Popola Respubliko
法語	Franca lingvo
魚	Fiŝoj
酒	Alkoholaĵo
巴西	Brazilo
俄羅斯	Rusio
方形	Kvadrato (geometrio)
海	Maro
黑海	Nigra Maro
圓周率	Pi (nombro)
阿拉巴馬州	Alabamo
聖保羅	San-Paŭlo (urbo)
德國	Germanio
德語	Germana lingvo
土星	Saturno (planedo)
飛行器	Aviadilo
打仗	Milito
1	1 (nombro)
2	2 (nombro)
3	3 (nombro)
4	4 (nombro)
5	5 (nombro)
無限	Senfineco
烏克蘭	Ukrainio
羅馬	Romo
克罗地亚	Kroatio
古巴	Kubo
印度尼西亞	Indonezio
莫扎特	Wolfgang Amadeus Mozart
貝多芬	Ludwig van Beethoven
南非	Sud-Afriko
維基文庫	Vikifontaro
葡萄酒	Vino
水	Akvo
木	Ligno
電視	Televido
冰島語	Islanda lingvo
摩內	Claude Monet
韋拿克	Diego Velázquez
智利	Ĉilio
耶穌	Jesuo Kristo
貓王	Elvis Presley
