આફ્રિકા	Afriko
જાપાન	Japanio
દક્ષિણ અમેરિકા	Sudameriko
નોર્વે	Norvegio
વેલ્સ	Kimrio
નોર્ધન આયર્લેન્ડ	Nord-Irlando
હંગેરી	Hungario
સ્પેન	Hispanio
સંયુક્ત રાજ્ય અમેરિકા	Usono
બેલ્જિયમ	Belgio
લક્ઝેમ્બર્ગ	Luksemburgo (lando)
બ્રહ્માંડ	Universo
પૃથ્વી	Tero
મનુષ્ય	Homo
ફીનલેંડ	Finnlando
સ્વિડન	Svedio
પોલેંડ	Pollando
લિથુઆનિયા	Litovio
ઈટલી	Italio
સ્વિત્ઝરલેન્ડ	Svislando
ઑસ્ટ્રિયા	Aŭstrio
ગ્રીસ	Grekio
તુર્કસ્તાન	Turkio
પોર્ટુગલ	Portugalio
યુરોપ	Eŭropo
એશિયા	Azio
ઉત્તર અમેરિકા	Nordameriko
ઍન્ટાર્કટિકા	Antarkto
વિકિપીડિયા	Vikipedio
નેધરલેંડ	Nederlando
PHP (પ્રોગ્રામિંગ ભાષા)	PHP
એર બસ	Airbus
સંગણક	Komputilo
ઇન્ટરનેટ	Interreto
ઉરુગ્વે	Urugvajo
કમ્પ્યુટર પ્રિન્ટર	Presilo
લંડન	Londono
એલેક્ઝાન્ડ્રિયા	Aleksandrio
સફરજન	Pomo
પૅરિસ	Parizo
ગૂગલ	Google
મેક્સિકો	Meksiko
સોમવાર	Lundo
જાન્યુઆરી	Januaro
ફેબ્રુઆરી	Februaro
માર્ચ	Marto
મંગળ (ગ્રહ)	Marso
કેન્યા	Kenjo
ઇથિયોપિયા	Etiopio
ઘાના	Ganao
એપ્રિલ	Aprilo
મે	Majo
જૂન	Junio
જુલાઇ	Julio
ઓગસ્ટ	Aŭgusto
સપ્ટેમ્બર	Septembro
ઓક્ટોબર	Oktobro
નવેમ્બર	Novembro
ડિસેમ્બર	Decembro
મંગળવાર	Mardo
બુધવાર	Merkredo
ગુરુવાર	Ĵaŭdo
શુક્રવાર	Vendredo
શનિવાર	Sabato
રવિવાર	Dimanĉo
એશિયાઇ સિંહ	Leono
ફ્રાન્સ	Francio
યુનાઇટેડ કિંગડમ	Unuiĝinta Reĝlando
ચીન	Ĉina Popola Respubliko
માછલી	Fiŝoj
ઇથેનોલ	Etanolo
મદ્યાર્ક યુક્ત પીણું	Alkoholaĵo
બ્રાઝિલ	Brazilo
રશિયા	Rusio
કાળો સમુદ્ર	Nigra Maro
અલાબામા	Alabamo
ક્વિબેક	Kebekio
વિકિમીડિયા ફાઉન્ડેશન	Fondaĵo Vikimedio
જીમ્મી વેલ્સ	Jimmy Wales
જર્મની	Germanio
બેલારુસ	Belorusio
જર્મન ભાષા	Germana lingvo
આઈસલેંડ	Islando
ઈશ્વર	Dio
ઈસ્ટોનિયા	Estonio
શનિ (ગ્રહ)	Saturno (planedo)
ચેરી	Ĉerizo
૧	1 (nombro)
૦ (શૂન્ય)	Nulo
લાટવિયા	Latvio
યુક્રેન	Ukrainio
સ્લોવાકિયા	Slovakio
સ્લોવેનિયા	Slovenio
મોલ્દોવા	Moldava Respubliko
રોમાનિયા	Rumanio
બલ્ગેરિયા	Bulgario
મેસેડોનિયા	Respubliko Makedonio
આલ્બેનિયા	Albanio
ક્રોએશિયા	Kroatio
અઝેરબીજાન	Azerbajĝano
સાયપ્રસ	Kipro
જ્યોર્જીયા (દેશ)	Kartvelio
કઝાકિસ્તાન	Kazaĥio
માલ્ટા	Malto
મોનૅકો	Monako
મોન્ટેનીગ્રો	Montenegro
સાન મૅરિનો	San-Marino
ઍફીલ ટાવર	Eiffel-Turo
ઇન્ટેલ કોર્પોરેશન	Intel
કોમ્પ્યુટર કીબોર્ડ	Komputila klavaro
જાવા (પ્રોગ્રામિંગ ભાષા)	Java (programlingvo)
ઈંડોનેશિયા	Indonezio
મોઝાર્ટ	Wolfgang Amadeus Mozart
દક્ષિણ આફ્રિકા	Sud-Afriko
વિકિસ્રોત	Vikifontaro
ઉઝબેકિસ્તાન	Uzbekujo
પાણી	Akvo
