Yn Affrick	Afriko
Yn Çhapaan	Japanio
America Yiass	Sudameriko
Norlynn	Norvegio
Sostyn	Anglio
Nalbin	Skotlando
Bretyn	Kimrio
Nerin Hwoaie	Nord-Irlando
Pobblaght Nerin	Irlando
Yn Ungaar	Hungario
Yn Spaainey	Hispanio
Steatyn Unnaneysit America	Usono
Yn Velg	Belgio
Lucsemburg	Luksemburgo (lando)
Yn Dowan	Tero
Finnlynn	Finnlando
Yn Toolynn	Svedio
Yn Danvarg	Danio
Yn Pholynn	Pollando
Yn Litaan	Litovio
Yn Iddaal	Italio
Yn Elveeish	Svislando
Yn Austeyr	Aŭstrio
Yn Ghreag	Grekio
Yn Turkee	Turkio
Lhune	Biero
Yn Phortiugal	Portugalio
Yn Oarpey	Eŭropo
Yn Aishey	Azio
America Hwoaie	Nordameriko
Yn Antarctagh	Antarkto
Wikipedia	Vikipedio
Yn Çheer Injil	Nederlando
Caayr York Noa	Novjorko
Washington, D.C.	Vaŝingtono
San Francisco	San-Francisko
Berleen	Berlino
Los Angeles	Los-Anĝeleso
Co-earrooder	Komputilo
Berne	Berno
Eddyr-voggyl	Interreto
Barack Obama	Barack Obama
Yn Ooraguay	Urugvajo
Lunnin	Londono
Cairo	Kairo
Ooyl	Pomo
Paarys	Parizo
Abraham Lincoln	Abraham Lincoln
Meksico	Meksiko
Yn Keayn Sheear	Atlantika Oceano
Yn Keayn Sheealtagh	Pacifika Oceano
California	Kalifornio
Boston	Bostono
Jelune	Lundo
Jerrey Geuree	Januaro
Toshiaght Arree	Februaro
Mayrnt	Marto
Mart (planaid)	Marso
Yn Cheinney	Kenjo
Yn Eetoip	Etiopio
Yn Ghaney	Ganao
Averil	Aprilo
Boaldyn	Majo
Mean Souree	Junio
Jerrey Souree	Julio
Luanistyn	Aŭgusto
Mean Fouyir	Septembro
Jerrey Fouyir	Oktobro
Mee Houney	Novembro
Mee ny Nollick	Decembro
Jemayrt	Mardo
Jecrean	Merkredo
Jerdein	Ĵaŭdo
Jeheiney	Vendredo
Jesarn	Sabato
Jedoonee	Dimanĉo
Yn Rank	Francio
Moddey	Hundo
Reeriaght Unnaneysit	Unuiĝinta Reĝlando
Kayt	Hejma kato
Deynphobblaght ny Sheen	Ĉina Popola Respubliko
Frangish	Franca lingvo
Eeast	Fiŝoj
Yn Vrasseel	Brazilo
Alcoal	Alkoholo
François Hollande	François Hollande
Yn Roosh	Rusio
Mooir	Maro
Yn Vooir Ghoo	Nigra Maro
Toronto	Toronto
Alabama	Alabamo
São Paulo	San-Paŭlo (urbo)
Québec	Kebekio
Wikimedia	Fondaĵo Vikimedio
Yn Ghermaan	Germanio
Yn Velaroosh	Belorusio
Germaanish	Germana lingvo
Yn Eeslynn	Islando
Jee	Dio
Yn Estaan	Estonio
David Cameron	David Cameron
Sarn (planaid)	Saturno (planedo)
Etlan	Aviadilo
0 (earroo)	Nulo
George W. Bush	George W. Bush
Yn Latvey	Latvio
Yn Ookraan	Ukrainio
Yn Phobblaght Çheck	Ĉeĥio
