ᐊᑉᕆᖄ	Afriko
ᓃᑉᐊᓐ	Japanio
ᐊᒥᐊᓕᑲ ᓂᒋᖅ	Sudameriko
ᓄᕐᒋ/nurgi	Norvegio
ᓯᐸᐃᓐ	Hispanio
ᐊᒥᐊᓕᑲ	Usono
ᓄᓇ	Tero
ᐄᒃ	Homo
ᔫᕐᒋ ᕚᓯᖕᑐᓐ	George Washington
ᔅᕗᕆᑭ	Svedio
ᐳᓚᓐᑦ	Pollando
ᓕᐋᑐᕙ	Litovio
Italy	Italio
ᐃᐆᕌᑉ	Eŭropo
ᐊᓰᐊ	Azio
ᐊᒥᐊᕆᑲ ᑐᓄᕕᐊᖅ	Nordameriko
ᐅᐃᑭᐱᑎᐊ	Vikipedio
ᐅᓱᒃ	Peniso
ᐱᕐᓖᓐ	Berlino
ᖃᕋᓴᐅᔭᖅ	Komputilo
ᖃᕆᓴᐅᔭᒃᑯᑦ ᑎᑎᕋᖅᓯᒪᔪᑦ	Interreto
ᐸᕌᒃ ᐅᐹᒪ	Barack Obama
ᑭᒻᒥᓇᐅᔭᖅ	Pomo
ᒎᒐᓪ	Google
ᒦᒃᓰᖂ	Meksiko
ᑳᓖᐴᕐᓃᐊ	Kalifornio
ᒧᓇᑖᒃ	Lundo
ᔭᓐᓄᐊᓕ	Januaro
ᕕᐳᐊᕆ	Februaro
ᓇᑦᓯᐊᓕᐅᑦ	Marto
ᐊᐃᐳᕆᓪ	Aprilo
ᒪᐃ	Majo
ᔪᓂ	Junio
ᔪᓚᐃ	Julio
ᐊᐅᒍᔅ	Aŭgusto
ᓯᑎᒻᐳᕆ	Septembro
ᐅᒃᑐᐳᕆ	Oktobro
ᓄᕕᒻᐳᕆ	Novembro
ᑎᓯᒻᐳᕆ	Decembro
ᐃᓯᐱᕋᓐᑐ	Esperanto
ᕿᖕᒥᖅ	Hundo
China	Ĉina Popola Respubliko
ᐅᐃᒍᐃᕐᒥᐅᖅ	Franca lingvo
ᐃᖃᓗᒃ	Fiŝoj
ᐊᖓᔮᕐᓇᖅᑐᖅ	Alkoholaĵo
ᐅᓛᓴ	Rusio
ᐊᕐᕕᒃ	Cetacoj
ᐅᐃᑭ	Vikio
ᐋᓛᐹᒫ	Alabamo
ᑯᐸᐃᒃ	Kebekio
ᔨᒥ ᐆᐃᓪᔅ	Jimmy Wales
ᔮᒪᓂ	Germanio
ᑎᖕᒥᓲᖅ	Aviadilo
ᐊᑭᕋᖅᑑᑎᔪᑦ	Milito
ᔅᑏᕕᓐ ᐦᐊᕐᐱᕐ	Stephen Harper
ᕕᓪᓂᐅᔅ/vilnius	Vilno
ᐊᑯᑭᑦᑐᑦ	Gronlando
ᖂᐹ/quupaa	Kubo
ᐄᓅᓯᐊ	Indonezio
ᓯᓕ	Ĉilio
ᐱᐅᓕᑦᓯᔨ	Jesuo Kristo
ᒥᕐᑰᕆ	Merkuro (planedo)
ᖃᐅᔨᓴᕐᓂᖅ ᑎᑎᖅᑲᑎᒍᑦ ᖃᓄᐃᓕᐅᖅᑕᐅᖃᑦᑕᕐᓂᑯᓂᒃ	Historio
ᕖᓄᔅ	Venuso (planedo)
ᑕᑯᑦᓱᒍᓱᑉᐳᖅ	Amo
