აფრიკა	Afriko
იაპონია	Japanio
სამხრეთი ამერიკა	Sudameriko
ნორვეგია	Norvegio
ინგლისი	Anglio
შოტლანდია	Skotlando
უელსი	Kimrio
ჩრდილოეთი ირლანდია	Nord-Irlando
ირლანდია	Irlando
უნგრეთი	Hungario
ესპანეთი	Hispanio
ამერიკის შეერთებული შტატები	Usono
ბელგია	Belgio
ლუქსემბურგი	Luksemburgo (lando)
სამყარო	Universo
დედამიწა	Tero
სიცოცხლე	Vivo
სიკვდილი	Morto
ადამიანი	Homo
ბედნიერება	Feliĉo
ჯორჯ ვაშინგტონი	George Washington
დაგლას ადამსი	Douglas Adams
ტიმ ბერნერს-ლი	Tim Berners-Lee
სტენლი კუბრიკი	Stanley Kubrick
ვიკიმონაცემები	Vikidatumoj
ფინეთი	Finnlando
შვედეთი	Svedio
დანია	Danio
პოლონეთი	Pollando
ლიტვა	Litovio
იტალია	Italio
შვეიცარია	Svislando
ავსტრია	Aŭstrio
საბერძნეთი	Grekio
თურქეთი	Turkio
ლუდი	Biero
პორტუგალია	Portugalio
ევროპა	Eŭropo
აზია	Azio
ჩრდილოეთი ამერიკა	Nordameriko
ანტარქტიდა	Antarkto
ვიკიპედია	Vikipedio
ნიდერლანდი	Nederlando
PHP	PHP
ნიუ-იორკი	Novjorko
ვაშინგტონი	Vaŝingtono
სან-ფრანცისკო	San-Francisko
ბერლინი	Berlino
ლოს-ანჯელესი	Los-Anĝeleso
Boeing	Boeing
Airbus	Airbus
კომპიუტერი	Komputilo
ბერნი	Berno
ჟენევა	Ĝenevo
ციურიხი	Zuriko
ინტერნეტი	Interreto
ბარაკ ობამა	Barack Obama
ურუგვაი	Urugvajo
ბაზელი	Bazelo
პრინტერი	Presilo
MediaWiki	MediaVikio
ლონდონი	Londono
კაირო	Kairo
ალექსანდრია	Aleksandrio
პარიზი	Parizo
აბრაამ ლინკოლნი	Abraham Lincoln
Android	Android
Google	Google
მექსიკა	Meksiko
ატლანტის ოკეანე	Atlantika Oceano
