Afelika	Afriko
Japan	Japanio
Norge	Norvegio
Hongrie	Hungario
Espania	Hispanio
Belezi	Belgio
Luxembourg	Luksemburgo (lando)
Ntoto	Tero
Muntu	Homo
Finlandi	Finnlando
Suedi	Svedio
Danemark	Danio
Pologne	Pollando
Lietuva	Litovio
Italia	Italio
Suisi	Svislando
Autriche	Aŭstrio
Gelesi	Grekio
Turki	Turkio
Mputulukesi	Portugalio
Mputu	Eŭropo
Azia	Azio
Pays-Bas	Nederlando
Berlin	Berlino
Ludinatelo	Komputilo
Paris	Parizo
Kenya	Kenjo
Itiopia	Etiopio
Gana	Ganao
Nkosi	Leono
Fwalansa	Francio
Royaume-Uni	Unuiĝinta Reĝlando
Nyawu	Hejma kato
Sina	Ĉina Popola Respubliko
Kifalanse	Franca lingvo
Brazil	Brazilo
François Hollande	François Hollande
Rusia	Rusio
Kalunga	Maro
Alemanyi	Germanio
Belarusia	Belorusio
Kidoitce	Germana lingvo
Islande	Islando
Estonia	Estonio
Ndèke	Aviadilo
Vita	Milito
4 (ntalu)	4 (nombro)
Latvia	Latvio
Uklenyi	Ukrainio
République tchèque	Ĉeĥio
Slovakia	Slovakio
Slovenia	Slovenio
Vilnius	Vilno
Moldova	Moldava Respubliko
Romania	Rumanio
Balgaria	Bulgario
Roma	Romo
Makedonia	Respubliko Makedonio
Albania	Albanio
Kroatia	Kroatio
Bosna	Bosnio kaj Hercegovino
Azerbaidjan	Azerbajĝano
Andora	Andoro
Kipros	Kipro
Kazakhstan	Kazaĥio
Malta	Malto
Monako	Monako
Monte Negro	Montenegro
Vatican	Vatikano
Saint-Marin	San-Marino
Repubilika ya Afelika ya Sudi	Sud-Afriko
Algeria	Alĝerio
Uzbekistan	Uzbekujo
Maza	Akvo
Chile	Ĉilio
Yesu	Jesuo Kristo
Ndinga	Lingvo
Kizabu	Scienco
Liechtenstein	Liĥtenŝtejno
Ubuntu	Ubuntu (linukso)
Skopje	Skopjo
Kilatini	Latina lingvo
Bahrain	Barejno
Armenia	Armenio
Serbie	Serbio
Australia	Aŭstralio
Fizika	Fiziko
Kisilamu	Islamo
Dinu	Dento
Mweta	Planedo
Moskva	Moskvo
Saint Petersburg	Sankt-Peterburgo
Tasadi	Ĉado
Nôde	Nordo
India	Barato
Kibende	Fero
Kibulu	Bestoj
Mutako	Kupro
Ayiti	Haitio
Iran	Irano
Israel	Israelo
Jordan	Jordanio
Kuwait	Kuvajto
Amelika	Ameriko
Oman	Omano
Qatar	Kataro
Lukalu	Trajno
Vietnam	Vjetnamio
Wolo	Oro
Mali	Malio
Ngola	Angolo
Tanzania	Tanzanio
Repubilika ya Afelika ya Kati	Centr-Afrika Respubliko
Togo	Togolando
Tunisia	Tunizio
Zambia	Zambio
Zimbabwe	Zimbabvo
Beijing (kizunga)	Pekino
Sudan ya Sudi	Sud-Sudano
Benin	Benino
Botswana	Bocvano
Burkina Faso	Burkino
Burundi	Burundo
Komoro	Komoroj
Repubilika ya Kôngo	Respubliko Kongo
Repubilika ya Kôngo ya Dimokalasi	Demokratia Respubliko Kongo
Djibuti	Ĝibutio
Bavaria	Bavario
Ginea ya Ekwatelo	Ekvatora Gvineo
Baden-Württemberg	Baden-Virtembergo
Eritrea	Eritreo
Ngabu	Gabono
Gambia	Gambio
Ginea	Gvineo
Ginea-Bisau	Gvineo Bisaŭa
Côte d'Ivoire	Ebur-Bordo
Kamerun	Kameruno
Kap Verde	Kaboverdo
Lesotho	Lesoto
Liberia	Liberio
Libia	Libio
Malagasi	Madagaskaro
Malawi	Malavio
Stuttgart	Stutgarto
Moritania	Maŭritanio
Mauritius	Maŭricio
Maroko	Maroko
Musambiki	Mozambiko
Namibia	Namibio
Nijer	Niĝero
Nizeria	Niĝerio
Uganda	Ugando
Rwanda	Ruando
Santu Tome na Prinsipe	Sao-Tomeo kaj Principeo
Senangale	Senegalo
Seychell	Sejŝeloj
Sierra Leone	Siera-Leono
