ທະວີບອາຟະລິກ	Afriko
ປະເທດຍີ່ປຸ່ນ	Japanio
ທະວີບອາເມລິກາໃຕ້	Sudameriko
ປະເທດນອກແວດ	Norvegio
ປະເທດອັງກິດ	Anglio
ປະເທດເອກົດ	Skotlando
ປະເທດການ	Kimrio
ປະເທດອຽກລັງ	Irlando
ປະເທດຮົງກະລີ	Hungario
ປະເທດແອສະປາຍ	Hispanio
ສະຫະລັດອາເມລິກາ	Usono
ປະເທດແບນຊິກ	Belgio
ປະເທດລູກຊຳບວກ	Luksemburgo (lando)
ໂລກ	Tero
ປະເທດແຟງລັງ	Finnlando
ປະເທດຊູແອດ	Svedio
ປະເທດດານມາກ	Danio
ປະເທດໂປໂລຍ	Pollando
ປະເທດລີຕົວນີ	Litovio
ປະເທດອິຕາລີ	Italio
ປະເທດສະວິດ	Svislando
ປະເທດໂອຕະລິດ	Aŭstrio
ປະເທດກະແລັດ	Grekio
ປະເທດຕວກກີ	Turkio
ເບຍ	Biero
ປະເທດປອກຕຸຍການ	Portugalio
ທະວີບເອີລົບ	Eŭropo
ອາຊີ	Azio
ທະວີບອາເມລິກາເໜືອ	Nordameriko
ທະວີບອັງຕາກຕິກ	Antarkto
ວິກິພີເດຍ	Vikipedio
ປະເທດໂຮນລັງ	Nederlando
ຄອມພິວເຕີ	Komputilo
ອິນເຕີເນັດ	Interreto
ບາຣັກ ໂອບາມາ	Barack Obama
ປະເທດອູຣູກວາຍ	Urugvajo
ຈັກພິມ	Presilo
ລອນດອນ	Londono
ປາລີ	Parizo
ແອນດຣອຍດ໌	Android
ກູໂກລ	Google
ປະເທດເມັກຊິກ	Meksiko
ມະຫາສະໝຸດອັດລັງຕິກ	Atlantika Oceano
ມະຫາສະໝຸດປາຊີຟິກ	Pacifika Oceano
ວັນຈັນ	Lundo
ເດືອນມັງກອນ	Januaro
ກຸມພາ	Februaro
ມີນາ	Marto
ເມສາ	Aprilo
ພຶດສະພາ	Majo
ມິຖຸນາ	Junio
ກໍລະກົດ	Julio
ສິງຫາ	Aŭgusto
ກັນຍາ	Septembro
ຕຸລາ	Oktobro
ພະຈິກ	Novembro
ທັນວາ	Decembro
ວັນອັງຄານ	Mardo
ວັນພຸດ	Merkredo
ວັນພະຫັດ	Ĵaŭdo
ວັນສຸກ	Vendredo
ວັນເສົາ	Sabato
ວັນອາທິດ	Dimanĉo
ປະເທດຝະລັ່ງ	Francio
ໝາ	Hundo
ສະຫະລາຊະອານາຈັກ	Unuiĝinta Reĝlando
ແມວ	Hejma kato
ປະເທດຈີນ	Ĉina Popola Respubliko
ພາສາຝະລັ່ງ	Franca lingvo
ປະເທດບະເຣຊິນ	Brazilo
ປະເທດລັດເຊຍ	Rusio
ຮູບຈັດຕຸລັດ	Kvadrato (geometrio)
ທະເລ	Maro
ແຂວງເກແບັກ	Kebekio
ປະເທດເຢຍລະມັນ	Germanio
ປະເທດບີເອໂລລຸດ	Belorusio
ປະເທດອີສະລັງ	Islando
ປະເທດແອສະໂຕນີ	Estonio
ຍົນ	Aviadilo
ຮູບສີ່ແຈສາກ	Ortangulo
ມຸມສາກ	Orto
ປະເທດແລດໂຕນີ	Latvio
ປະເທດອູກະແລນ	Ukrainio
ສາທາລະນະລັດແຊັກ	Ĉeĥio
ປະເທດສະໂລວາກີ	Slovakio
ປະເທດສະໂລເວນີ	Slovenio
ປະເທດລູມານີ	Rumanio
ປະເທດບູນກາລີ	Bulgario
ປະເທດມາເຊດວນ	Respubliko Makedonio
ປະເທດກະໂລອາຊີ	Kroatio
ປະເທດບົດສະນີແຮກເຊໂກວີນ	Bosnio kaj Hercegovino
ປະເທດອາແຊກບາຍຊັງ	Azerbajĝano
ປະເທດອັງດອກ	Andoro
ປະເທດຊີບ	Kipro
ປະເທດເຊອັອກຊີ	Kartvelio
ປະເທດມານ	Malto
ປະເທດໂມນາໂກ	Monako
ປະເທດແຊັງມາແລງ	San-Marino
ຫໍແອບແຟນ	Eiffel-Turo
ຄີບອດ	Komputila klavaro
ປະເທດອິນໂດເນເຊຍ	Indonezio
ໂທລະພາບ	Televido
ປະເທດຈີເລ	Ĉilio
ພຣະເຢຊູ	Jesuo Kristo
ປະຫວັດສາດ	Historio
ພາສາ	Lingvo
ລະບອບຜະເດັດການ	Diktatoreco
ບິກແບງ	Praeksplodo
ດາຣາສາດ	Astronomio
ປະເທດສິງກະໂປ	Singapuro
ວິທະຍາສາດ	Scienco
ມົງເລອານ	Montrealo
ປະເທດລິກເຕນສະຕາຍ	Liĥtenŝtejno
ກິລາ	Sporto
ອາໂດນ ຮິດແລ	Adolf Hitler
ເຟດບຸກ	Facebook
ສົງຄາມໂລກຄັ້ງທີສອງ	Dua mondmilito
ໂມງ	Horloĝo
ອຸບຸນຕູ	Ubuntu (linukso)
ລິນຸກຊ໌	Linukso
ຄະນິດສາດ	Matematiko
ພາສາລາແຕັງ	Latina lingvo
ປະເທດອາກເມນີ	Armenio
ປະເທດແຊກບີ	Serbio
ດວງຈັນ	Luno
ປະເທດອົດສະຕະຣາລີ	Aŭstralio
ວັດຖຸວິທະຍາ	Fiziko
ປະເທດອາກຊັງຕິນ	Argentino
ໂທລະຄົມມະນາຄົມ	Telekomunikado
ປະເທດເປຣູ	Peruo
