Afrika	Afriko
Japana	Japanio
Norvezy	Norvegio
Irlanda	Irlando
Espaina	Hispanio
Etazonia	Usono
Belzika	Belgio
Loksemborga	Luksemburgo (lando)
Tany	Tero
Fiainana	Vivo
Olombelona	Homo
George Washington	George Washington
Douglas Adams	Douglas Adams
Tim Berners-Lee	Tim Berners-Lee
Paul Otlet	Paul Otlet
Stanley Kubrick	Stanley Kubrick
Finlandy	Finnlando
Soeda	Svedio
Danmarka	Danio
Polonia	Pollando
Litoania	Litovio
Italia	Italio
Soisa	Svislando
Aotrisy	Aŭstrio
Grisy	Grekio
Torkia	Turkio
Labiera	Biero
Pôrtogaly	Portugalio
Eoropa	Eŭropo
Azia	Azio
Amerika Avaratra	Nordameriko
Antartika	Antarkto
Wikipedia	Vikipedio
PHP	PHP
New York	Novjorko
Washington D.C	Vaŝingtono
San Francisco	San-Francisko
Berlin	Berlino
Los Angeles	Los-Anĝeleso
Solosaina	Komputilo
Internet	Interreto
Barack Obama	Barack Obama
MediaWiki	MediaVikio
London	Londono
Kairo	Kairo
Alexandria, Virginia	Alexandria (Virginio)
Paoma	Pomo
Paris	Parizo
Abraham Lincoln	Abraham Lincoln
Android	Android
Google	Google
Meksika	Meksiko
Ranomasimbe Atlantika	Atlantika Oceano
Ranomasimbe Pasifika	Pacifika Oceano
Kalifornia	Kalifornio
Boston, Massachusetts	Bostono
Janoary	Januaro
Febroary	Februaro
Martsa	Marto
Mars (fajiry)	Marso
Kenia	Kenjo
Etiopia	Etiopio
Ghana	Ganao
Aprily	Aprilo
Mey	Majo
Jiona	Junio
Jolay	Julio
Aogositra	Aŭgusto
Septambra	Septembro
Oktobra	Oktobro
Novambra	Novembro
Desambra	Decembro
Frantsa	Francio
Fiteny esperanto	Esperanto
Alika	Hundo
Fanjakana Mitambatra	Unuiĝinta Reĝlando
Saka	Hejma kato
Repoblika Entim-bahoakan'i Sina	Ĉina Popola Respubliko
Fiteny frantsay	Franca lingvo
Wikibolana	Vikivortaro
Hazandrano	Fiŝoj
Alkôla	Alkoholaĵo
Brazila	Brazilo
François Hollande	François Hollande
Rosia	Rusio
Efa-joro	Kvadrato (geometrio)
Ranomasina Mainty	Nigra Maro
Pi	Pi (nombro)
Manga	Mango (frukto)
Wiki	Vikio
Alabama	Alabamo
São Paulo	San-Paŭlo (urbo)
Québec	Kebekio
Boeing 747	Boeing 747
Wikimedia Foundation	Fondaĵo Vikimedio
Jimmy Wales	Jimmy Wales
Alemaina	Germanio
Belarosia	Belorusio
Fiteny alemana	Germana lingvo
Islandy	Islando
Estonia	Estonio
David Cameron	David Cameron
Fiaramanidina	Aviadilo
Tsiefa	Senfineco
Stephen Harper	Stephen Harper
George Bush	George W. Bush
Latvia	Latvio
Okraina	Ukrainio
Tsekia	Ĉeĥio
Silaovakia	Slovakio
Silaovenia	Slovenio
Vilnius	Vilno
Romania	Rumanio
Biolgaria	Bulgario
Roma	Romo
Masedonia	Respubliko Makedonio
Albania	Albanio
Groenlanda	Gronlando
Krôasia	Kroatio
Bosnia sy Herzegovina	Bosnio kaj Hercegovino
Azerbaijana	Azerbajĝano
Andora	Andoro
Repoblikan'i Kipra	Kipro
Jeorjia	Kartvelio
Kazakstàna	Kazaĥio
Malta	Malto
Monakô	Monako
Montenegro	Montenegro
San Marino	San-Marino
Brussel	Bruselo
Kioba	Kubo
Belizy	Belizo
Barbady	Barbado
Indonezia	Indonezio
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Fiteny tiorka	Turka lingvo
Afrika Atsimo	Sud-Afriko
Aljeria	Alĝerio
Varsôvia	Varsovio
Rano	Akvo
Hazo	Ligno
Tours	Tours
Claude Monet	Claude Monet
Silia	Ĉilio
El Greco	El Greco
Jesoa	Jesuo Kristo
Elvis Presley	Elvis Presley
Galileo Galilei	Galilejo
Merkiora	Merkuro (planedo)
Tantara	Historio
Apple	Apple
Venosy	Venuso (planedo)
Fiteny	Lingvo
Didy jadona	Diktatoreco
Vondron-kintana	Galaksio
Uranus	Urano (planedo)
Nicolas Sarkozy	Nicolas Sarkozy
Hainkintana	Astronomio
Singapaoro	Singapuro
Siansa	Scienco
Montréal	Montrealo
Rindrankajy malalaka	Libera programaro
Quimper	Quimper
La Flèche	La Flèche
Liechtenstein	Liĥtenŝtejno
Adolf Hitler	Adolf Hitler
Facebook	Facebook
WikiLeaks	WikiLeaks
Ady Lehibe Voalohany	Unua mondmilito
Ady Lehibe Faharoa	Dua mondmilito
Kolikoly	Korupto
Augusto Pinochet	Augusto Pinochet
Ubuntu	Ubuntu (linukso)
Skopje	Skopjo
Linux	Linukso
Bob Dylan	Bob Dylan
Fanisana	Matematiko
U2	U2
Fiteny latina	Latina lingvo
Armenia	Armenio
Serbia	Serbio
Volana	Luno
Aostralia	Aŭstralio
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Fizika	Fiziko
Arjentina	Argentino
Fifandraisan-davitra	Telekomunikado
Però	Peruo
Biolojia	Biologio
Korea Avaratra	Nord-Koreio
Kambodia	Kamboĝo
Ljubljana	Ljubljano
Salvador Allende	Salvador Allende
Lech Wałęsa	Lech Wałęsa
Kodiarana	Rado
Fandriam-pahalemana	Paco
Encyclopædia Britannica	Encyclopaedia Britannica
Vondrona Eoropeana	Eŭropa Unio
Plôvdiv	Plovdiv
Tranonkala	TTT
Sofia	Sofio
Voina tao Chernobyl	Nuklea akcidento de Ĉernobilo
Arthur Rimbaud	Arthur Rimbaud
Tay	Fekaĵo
Fory	Anuso
Charles Baudelaire	Charles Baudelaire
Stendhal	Stendhal
Akondro	Banano
Émile Zola	Émile Zola
Vladimir Vysotsky	Vladimir Visockij
Tanàna	Urbo
Napoleon	Napoleono Bonaparte
Kintana	Stelo
Masoandro	Suno
Louis Pasteur	Louis Pasteur
Taon-kazavana	Lumjaro
Victor Hugo	Victor Hugo
Oseania	Oceanio
Giuseppe Garibaldi	Giuseppe Garibaldi
Rafitry ny masoandro	Sunsistemo
Ranomasina Baltika	Balta Maro
Nify	Dento
Wikimedia Commons	Vikimedia Komunejo
Angela Merkel	Angela Merkel
Famoaham-peo	Laŭtparolilo
Boky	Libro
Oslo	Oslo
Katowice	Katowice
Luís de Camões	Luís Vaz de Camões
Lisbon	Lisbono
Lionel Messi	Lionel Messi
Nicolas Copernic	Koperniko
Karbônina	Karbono
