Afrika	Afriko
Japan	Japanio
Sør-Amerika	Sudameriko
Noreg	Norvegio
England	Anglio
Skottland	Skotlando
Wales	Kimrio
Nord-Irland	Nord-Irlando
Republikken Irland	Irlando
Ungarn	Hungario
Spania	Hispanio
USA	Usono
Belgia	Belgio
Luxembourg	Luksemburgo (lando)
Universet	Universo
Jorda	Tero
Livet	Vivo
Død	Morto
Menneske	Homo
Lukke	Feliĉo
George Washington	George Washington
Douglas Adams	Douglas Adams
Tim Berners-Lee	Tim Berners-Lee
Leet	Leet
Stanley Kubrick	Stanley Kubrick
Finland	Finnlando
Sverige	Svedio
Danmark	Danio
Polen	Pollando
Litauen	Litovio
Italia	Italio
Sveits	Svislando
Austerrike	Aŭstrio
Hellas	Grekio
Tyrkia	Turkio
Øl	Biero
Portugal	Portugalio
Europa	Eŭropo
Asia	Azio
Nord-Amerika	Nordameriko
Antarktis	Antarkto
Wikipedia	Vikipedio
Nederland	Nederlando
Penis	Peniso
PHP	PHP
New York by	Novjorko
Washington, D.C.	Vaŝingtono
San Francisco	San-Francisko
Berlin	Berlino
Los Angeles	Los-Anĝeleso
Boeing	Boeing
Datamaskin	Komputilo
Courrendlin	Courrendlin
Bern	Berno
Genève	Ĝenevo
Zürich	Zuriko
Internet Relay Chat	Interreta relajsa babilo
Internett	Interreto
Barack Obama	Barack Obama
Uruguay	Urugvajo
Basel	Bazelo
MediaWiki	MediaVikio
London	Londono
Kairo	Kairo
Hovudverk	Kapdoloro
Alexandria	Aleksandrio
Eple	Pomo
Paris	Parizo
Abraham Lincoln	Abraham Lincoln
Android	Android
Google	Google
Mexico	Meksiko
Atlanterhavet	Atlantika Oceano
Stillehavet	Pacifika Oceano
California	Kalifornio
Boston	Bostono
Måndag	Lundo
Januar	Januaro
Februar	Februaro
Månaden mars	Marto
Planeten Mars	Marso
Guden Mars	Marso (dio)
Kenya	Kenjo
Etiopia	Etiopio
Ghana	Ganao
April	Aprilo
Mai	Majo
Juni	Junio
Juli	Julio
August	Aŭgusto
September	Septembro
Oktober	Oktobro
November	Novembro
Desember	Decembro
Tysdag	Mardo
Onsdag	Merkredo
Torsdag	Ĵaŭdo
Fredag	Vendredo
Laurdag	Sabato
Sundag	Dimanĉo
Sjakkbrikka løpar	Kuriero (ŝako)
Sjakkbrikka bonde	Peono (ŝako)
Sjakkbrikka springar	Ĉevalo (ŝako)
Sjakkbrikka tårn	Turo (ŝako)
Sjakkbrikka konge	Reĝo (ŝako)
Sjakkbrikka dronning	Damo (ŝako)
Løve	Leono
Frankrike	Francio
Esperanto	Esperanto
Hund	Hundo
Storbritannia	Unuiĝinta Reĝlando
Katt	Hejma kato
Folkerepublikken Kina	Ĉina Popola Respubliko
Fransk	Franca lingvo
Wiktionary	Vikivortaro
Fisk	Fiŝoj
Etanol	Etanolo
Alkoholhaldig drykk	Alkoholaĵo
Brasil	Brazilo
Alkohol	Alkoholo
François Hollande	François Hollande
Russland	Rusio
Kvalar	Cetacoj
Optisk fiber	Optika fibro
Yorkshire	Jorkŝiro
Kvadrat	Kvadrato (geometrio)
Hav	Maro
Svartehavet	Nigra Maro
Pi	Pi (nombro)
Bokstaven pi	Pio (litero)
Wiki	Vikio
Toronto	Toronto
