Naakaii Łizhiní Bikéyah	Afriko
Binaʼadaałtzózí Dinéʼiʼ Bikéyah	Japanio
Bitsiighaʼ Łichííʼí Bikéyah	Irlando
Hángewii	Hungario
Dibé Diníí Bikéyah	Hispanio
Wááshindoon Bikéyah Ałhidadiidzooígíí	Usono
Bélgii Bikéyah	Belgio
Látsębooʼ	Luksemburgo (lando)
Yágháhookáán	Universo
Nahasdzáán	Tero
Nahoditsʼǫʼłání	Finnlando
Déinish Dineʼé Bikéyah	Danio
Póolish Dineʼé Bikéyah	Pollando
Łitʼoowę́ęya	Litovio
Ídelii	Italio
Swis Bikéyah	Svislando
Óóswiya	Aŭstrio
Gwíík Dineʼé Bikéyah	Grekio
Tʼóok Bikéyah	Turkio
Béésh Bichʼahníí Bikéyah	Eŭropo
(*@@@u0026asia")	Azio
Shádiʼááhjí kéyah yistinígíí	Antarkto
Kéyah Wóyahgo Siʼánígíí	Nederlando
Béésh bee akʼeʼelchíhí tʼáá bí nitsékeesígíí	Komputilo
Hastiin alą́ąjįʼ dahsidáhígíí Barack Obama	Barack Obama
Táłtłʼááh Chʼosh Bitooh (Kéyah Dah Siʼánígíí)	Urugvajo
Bilasáana	Pomo
Méhigo	Meksiko
Akééháshį́į́h Hahoodzo	Kalifornio
Máaz	Marso
Kénya	Kenjo
Iithiyópya	Etiopio
Gáana	Ganao
Náshdóítsoh bitsiijįʼ daditłʼooígíí	Leono
Dáághahii Dinéʼiʼ Bikéyah	Francio
Łééchąąʼí	Hundo
Tótaʼ Dinéʼiʼ Bikéyah	Unuiĝinta Reĝlando
Mósí	Hejma kato
Dáághahii bizaad	Franca lingvo
Łóóʼ	Fiŝoj
Bwazííl	Brazilo
Biʼééʼ Łichííʼí Bikéyah	Rusio
Łóóʼtsoh dóó Tééh hóyáanii	Cetacoj
Naakaii bichʼil łitsxooí	Mango (frukto)
Élábéemah Hahoodzo	Alabamo
Béésh Bichʼahii Bikéyah	Germanio
Bééshbichʼahii bizaad	Germana lingvo
Tin Bikéyah	Islando
Ééstii Bikéyah	Estonio
Séetin	Saturno (planedo)
Didzéchííʼ	Ĉerizo
Chidí naatʼaʼí	Aviadilo
Hastiin alą́ąjįʼ dahsidáhígíí George W. Bush	George W. Bush
Létbiiya	Latvio
Yóókwein	Ukrainio
Chek Bikéyah	Ĉeĥio
Słóbaʼ Bikéyah	Slovakio
Słobíín Bikéyah	Slovenio
