ਅਫ਼ਰੀਕਾ	Afriko
ਜਪਾਨ	Japanio
ਦੱਖਣੀ ਅਮਰੀਕਾ	Sudameriko
ਨਾਰਵੇ	Norvegio
ਇੰਗਲੈਂਡ	Anglio
ਸਕਾਟਲੈਂਡ	Skotlando
ਵੇਲਜ਼	Kimrio
ਉੱਤਰੀ ਆਇਰਲੈਂਡ	Nord-Irlando
ਆਇਰਲੈਂਡ ਗਣਰਾਜ	Irlando
ਹੰਗਰੀ	Hungario
ਸਪੇਨ	Hispanio
ਸੰਯੁਕਤ ਰਾਜ ਅਮਰੀਕਾ	Usono
ਬੈਲਜੀਅਮ	Belgio
ਲਕਸਮਬਰਗ	Luksemburgo (lando)
ਧਰਤੀ	Tero
ਜੀਵਨ	Vivo
ਮੌਤ	Morto
ਮਨੁੱਖ	Homo
ਖ਼ੁਸ਼ੀ	Feliĉo
ਜਾਰਜ ਵਾਸ਼ਿੰਗਟਨ	George Washington
ਫ਼ਿਨਲੈਂਡ	Finnlando
ਸਵੀਡਨ	Svedio
ਡੈੱਨਮਾਰਕ	Danio
ਪੋਲੈਂਡ	Pollando
ਲਿਥੁਆਨੀਆ	Litovio
ਇਟਲੀ	Italio
ਸਵਿਟਜ਼ਰਲੈਂਡ	Svislando
ਆਸਟਰੀਆ	Aŭstrio
ਯੂਨਾਨ	Grekio
ਤੁਰਕੀ	Turkio
ਪੁਰਤਗਾਲ	Portugalio
ਯੂਰਪ	Eŭropo
ਏਸ਼ੀਆ	Azio
ਉੱਤਰੀ ਅਮਰੀਕਾ	Nordameriko
ਅੰਟਾਰਕਟਿਕਾ	Antarkto
ਵਿਕੀਪੀਡੀਆ	Vikipedio
ਨੀਦਰਲੈਂਡ	Nederlando
ਸ਼ਿਸ਼ਨ	Peniso
ਨਿਊਯਾਰਕ ਸ਼ਹਿਰ	Novjorko
ਵਾਸ਼ਿੰਗਟਨ, ਡੀ.ਸੀ.	Vaŝingtono
ਸਾਨ ਫ਼ਰਾਂਸਿਸਕੋ	San-Francisko
ਬਰਲਿਨ	Berlino
ਲਾਸ ਐਂਜਲਸ	Los-Anĝeleso
ਕੰਪਿਊਟਰ	Komputilo
ਬਰਨ	Berno
ਜਨੇਵਾ	Ĝenevo
ਜ਼ਿਊਰਿਖ	Zuriko
ਇੰਟਰਨੈੱਟ	Interreto
ਬਰਾਕ ਓਬਾਮਾ	Barack Obama
ਉਰੂਗੁਏ	Urugvajo
ਲੰਡਨ	Londono
ਕਾਹਿਰਾ	Kairo
ਸਿਰਦਰਦ	Kapdoloro
ਸਿਕੰਦਰੀਆ	Aleksandrio
ਸੇਬ	Pomo
ਪੈਰਿਸ	Parizo
ਅਬਰਾਹਮ ਲਿੰਕਨ	Abraham Lincoln
ਐਂਡ੍ਰਾਇਡ (ਆਪਰੇਟਿੰਗ ਸਿਸਟਮ)	Android
ਗੂਗਲ	Google
ਮੈਕਸੀਕੋ	Meksiko
ਅੰਧ ਮਹਾਂਸਾਗਰ	Atlantika Oceano
ਪ੍ਰਸ਼ਾਂਤ ਮਹਾਂਸਾਗਰ	Pacifika Oceano
ਕੈਲੀਫ਼ੋਰਨੀਆ	Kalifornio
ਬੌਸਟਨ	Bostono
ਸੋਮਵਾਰ	Lundo
ਵਿਸਥਾਰ	Spaco
ਜਨਵਰੀ	Januaro
ਫ਼ਰਵਰੀ	Februaro
ਮਾਰਚ	Marto
ਮੰਗਲ (ਗ੍ਰਹਿ)	Marso
ਮਾਰਸ	Marso (dio)
ਕੀਨੀਆ	Kenjo
ਇਥੋਪੀਆ	Etiopio
ਘਾਨਾ	Ganao
ਅਪ੍ਰੈਲ	Aprilo
ਮਈ	Majo
ਜੂਨ	Junio
ਜੁਲਾਈ	Julio
ਅਗਸਤ	Aŭgusto
ਸਤੰਬਰ	Septembro
ਅਕਤੂਬਰ	Oktobro
ਨਵੰਬਰ	Novembro
ਦਸੰਬਰ	Decembro
ਮੰਗਲਵਾਰ	Mardo
ਬੁੱਧਵਾਰ	Merkredo
ਵੀਰਵਾਰ	Ĵaŭdo
ਸ਼ੁੱਕਰਵਾਰ	Vendredo
ਸ਼ਨਿੱਚਰਵਾਰ	Sabato
ਐਤਵਾਰ	Dimanĉo
ਫ਼ਰਾਂਸ	Francio
ਏਸਪੇਰਾਂਤੋ	Esperanto
ਕੁੱਤਾ	Hundo
ਸੰਯੁਕਤ ਬਾਦਸ਼ਾਹੀ	Unuiĝinta Reĝlando
ਬਿੱਲੀ	Hejma kato
ਚੀਨ ਲੋਕ ਗਣਰਾਜ	Ĉina Popola Respubliko
ਫ਼ਰਾਂਸੀਸੀ ਭਾਸ਼ਾ	Franca lingvo
ਵਿਕਸ਼ਨਰੀ	Vikivortaro
ਮੱਛੀ	Fiŝoj
ਈਥੇਨੋਲ	Etanolo
ਬ੍ਰਾਜ਼ੀਲ	Brazilo
ਅਲਕੋਹਲ	Alkoholo
ਫਰਾਂਸੋਆ ਔਲਾਂਦ	François Hollande
ਰੂਸ	Rusio
ਪ੍ਰਕਾਸ਼ੀ ਤੰਦ	Optika fibro
ਸਮੁੰਦਰ	Maro
ਕਾਲ਼ਾ ਸਮੁੰਦਰ	Nigra Maro
ਪਾਈ	Pi (nombro)
ਪਾਈ (ਅੱਖਰ)	Pio (litero)
ਅੰਬ	Mango (frukto)
ਟੋਰਾਂਟੋ	Toronto
ਅਲਾਬਾਮਾ	Alabamo
ਸਾਓ ਪਾਉਲੋ	San-Paŭlo (urbo)
ਕੇਬੈਕ	Kebekio
ਪੀਜ਼ਾ	Pico
ਵਿਕੀਮੀਡੀਆ ਫ਼ਾਊਂਡੇਸ਼ਨ	Fondaĵo Vikimedio
ਜਿੰਮੀ ਵੇਲਸ	Jimmy Wales
ਜਰਮਨੀ	Germanio
ਬੇਲਾਰੂਸ	Belorusio
ਜਰਮਨ ਭਾਸ਼ਾ	Germana lingvo
ਆਈਸਲੈਂਡ	Islando
ਪਰਮਾਤਮਾ	Dio
ਇਸਤੋਨੀਆ	Estonio
ਸ਼ਨੀ (ਗ੍ਰਹਿ)	Saturno (planedo)
ਹਵਾਈ ਜਹਾਜ਼	Aviadilo
ਜੰਗ	Milito
੧ (ਅੰਕ)	1 (nombro)
੨ (ਅੰਕ)	2 (nombro)
੩ (ਅੰਕ)	3 (nombro)
੪ (ਅੰਕ)	4 (nombro)
੫ (ਅੰਕ)	5 (nombro)
ਸਿਫ਼ਰ (ਅੰਕ)	Nulo
ਸਟੀਵਨ ਹਾਰਪਰ	Stephen Harper
ਜਾਰਜ ਵਾਕਰ ਬੁਸ਼	George W. Bush
ਲਾਤਵੀਆ	Latvio
ਯੂਕਰੇਨ	Ukrainio
ਚੈੱਕ ਗਣਰਾਜ	Ĉeĥio
ਸਲੋਵਾਕੀਆ	Slovakio
ਸਲੋਵੇਨੀਆ	Slovenio
ਵਿਲਨਸ	Vilno
ਮੋਲਦੋਵਾ	Moldava Respubliko
ਰੋਮਾਨੀਆ	Rumanio
ਬੁਲਗਾਰੀਆ	Bulgario
ਰੋਮ	Romo
ਮਕਦੂਨੀਆ ਗਣਰਾਜ	Respubliko Makedonio
ਅਲਬਾਨੀਆ	Albanio
ਗਰੀਨਲੈਂਡ	Gronlando
ਕ੍ਰੋਏਸ਼ੀਆ	Kroatio
ਬੋਸਨੀਆ ਅਤੇ ਹਰਜ਼ੇਗੋਵੀਨਾ	Bosnio kaj Hercegovino
ਨੂਕ	Nuko (Gronlando)
ਅਜ਼ਰਬਾਈਜਾਨ	Azerbajĝano
ਅੰਡੋਰਾ	Andoro
ਸਾਇਪ੍ਰਸ	Kipro
ਜਾਰਜੀਆ (ਦੇਸ਼)	Kartvelio
ਕਜ਼ਾਖ਼ਸਤਾਨ	Kazaĥio
ਮਾਲਟਾ	Malto
ਮੋਨਾਕੋ	Monako
ਮੋਂਟੇਨੇਗਰੋ	Montenegro
ਵੈਟੀਕਨ ਸ਼ਹਿਰ	Vatikano
ਸਾਨ ਮਰੀਨੋ	San-Marino
ਬਰੱਸਲਸ (ਸ਼ਹਿਰ)	Brusela Ĉefurba Regiono
ਕਿਊਬਾ	Kubo
ਬੇਲੀਜ਼	Belizo
ਆਈਫ਼ਲ ਟਾਵਰ	Eiffel-Turo
ਬਾਰਬਾਡੋਸ	Barbado
ਫ਼ੌਕਸਵੈਗਨ	Volkswagen
ਇਨਟੈੱਲ	Intel
ਜਾਵਾ (ਪ੍ਰੋਗਰਾਮਿੰਗ ਭਾਸ਼ਾ)	Java (programlingvo)
ਇੰਡੋਨੇਸ਼ੀਆ	Indonezio
ਵੋਲਫ਼ਗਾਂਗ ਆਮਾਡੇਅਸ ਮੋਜ਼ਾਰਟ	Wolfgang Amadeus Mozart
ਲੁਡਵਿਗ ਵਾਨ ਬੀਥੋਵਨ	Ludwig van Beethoven
ਤੁਰਕ ਭਾਸ਼ਾ	Turka lingvo
ਦੱਖਣੀ ਅਫ਼ਰੀਕਾ	Sud-Afriko
ਅਲਜੀਰੀਆ	Alĝerio
ਉਜ਼ਬੇਕਿਸਤਾਨ	Uzbekujo
ਤਾਸ਼ਕੰਤ	Taŝkento
ਵਾਰਸਾ	Varsovio
ਵਾਈਨ	Vino
ਪਾਣੀ	Akvo
ਚਮੜਾ	Ledo
ਲੱਕੜ	Ligno
ਟੀਵੀ	Televido
ਫ਼ਾਹਸ਼ ਰਚਨਾ	Pornografio
ਕਲੌਦ ਮੋਨੇ	Claude Monet
ਡਿਏਗੋ ਵੇਲਾਕਿਉਜ	Diego Velázquez
ਚੀਲੇ	Ĉilio
ਈਸਾ ਮਸੀਹ	Jesuo Kristo
ਗੈਲੀਲਿਓ ਗੈਲੀਲੀ	Galilejo
ਬੁੱਧ (ਗ੍ਰਹਿ)	Merkuro (planedo)
ਇਤਿਹਾਸ	Historio
ਐਪਲ	Apple
ਭਾਸ਼ਾ	Lingvo
ਪਿਆਰ	Amo
ਤਾਨਾਸ਼ਾਹੀ	Diktatoreco
ਅਕਾਸ਼ਗੰਗਾ	Galaksio
ਬ੍ਰਹਿਸਪਤ (ਗ੍ਰਹਿ)	Jupitero (planedo)
ਮਿਸ਼ੇਲ ਬਾਚੇਲੇਤ	Michelle Bachelet
ਮਿਲਕੀ ਵੇ	Lakta vojo
ਮਹਾਂ ਧਮਾਕਾ	Praeksplodo
ਯੁਰੇਨਸ (ਗ੍ਰਹਿ)	Urano (planedo)
ਅੰਗਰੇਜ਼ੀ ਵਿਕੀਪੀਡੀਆ	Anglalingva Vikipedio
ਵਰੁਣ (ਗ੍ਰਹਿ)	Neptuno (planedo)
ਤਾਰਾ ਵਿਗਿਆਨ	Astronomio
ਸਿੰਗਾਪੁਰ	Singapuro
ਵਿਗਿਆਨ	Scienco
ਪਲੂਟੋ	Plutono
ਮਾਂਟਰੀਆਲ	Montrealo
ਆਜ਼ਾਦ ਸਾਫ਼ਟਵੇਅਰ	Libera programaro
ਕੁਆਰੀ ਮਰੀਅਮ	Maria (patrino de Jesuo)
ਲੀਖਟਨਸ਼ਟਾਈਨ	Liĥtenŝtejno
ਖੇਡ	Sporto
ਕੈਂਬਰਿਜ	Kembriĝo (Britio)
ਅਡੋਲਫ ਹਿਟਲਰ	Adolf Hitler
ਫ਼ੇਸਬੁੱਕ	Facebook
ਵਿਕੀਲੀਕਸ	WikiLeaks
ਪਹਿਲੀ ਸੰਸਾਰ ਜੰਗ	Unua mondmilito
ਦੂਜੀ ਸੰਸਾਰ ਜੰਗ	Dua mondmilito
ਕਲਨ	Kolonjo
ਭ੍ਰਿਸ਼ਟਾਚਾਰ	Korupto
ਘੜੀ	Horloĝo
