Aphrika	Afriko
Nihun	Japanio
Urin Awya Yala	Sudameriko
Nurwiga	Norvegio
Inlatirra	Anglio
Iskusya	Skotlando
Kamri	Kimrio
Chinchay Ilanda	Nord-Irlando
Ilanda	Irlando
Unriya	Hungario
Ispaña	Hispanio
Hukllachasqa Amirika Suyukuna	Usono
Bilhika	Belgio
Luksimbur	Luksemburgo (lando)
Ch'askancha	Universo
Tiksimuyu	Tero
Kawsay	Vivo
Wañuy	Morto
Runa	Homo
Kusikuy	Feliĉo
George Washington	George Washington
Stanley Kubrick	Stanley Kubrick
Phinsuyu	Finnlando
Suwidsuyu	Svedio
Dansuyu	Danio
Pulunya	Pollando
Lituwa	Litovio
Italya	Italio
Suwisa	Svislando
Awstiriya	Aŭstrio
Grisya	Grekio
Turkiya	Turkio
Sirwisa	Biero
Purtugal	Portugalio
Iwrupa	Eŭropo
Asya	Azio
Chinchay Awya Yala	Nordameriko
Antartika	Antarkto
Wikipidiya	Vikipedio
Urasuyu	Nederlando
Ullu	Peniso
New York	Novjorko
Washington DC	Vaŝingtono
San Francisco (California)	San-Francisko
Berlin	Berlino
Los Angeles	Los-Anĝeleso
Antañiqiq	Komputilo
Bern	Berno
Genève	Ĝenevo
Zürich	Zuriko
Internet	Interreto
Barack Obama	Barack Obama
Uruwayi	Urugvajo
Basel	Bazelo
Antañiqiq ch'ipachina	Presilo
London	Londono
Qahira	Kairo
Uma nanay	Kapdoloro
Iskandariya	Aleksandrio
Mansana	Pomo
Paris	Parizo
Abraham Lincoln	Abraham Lincoln
Google	Google
Mishiku	Meksiko
Atlantiku mama qucha	Atlantika Oceano
Sanp'a mama qucha	Pacifika Oceano
California suyu	Kalifornio
Boston (Massachusetts)	Bostono
Killachaw	Lundo
Qhulla puquy killa	Januaro
Hatun puquy killa	Februaro
Pawqar waray killa	Marto
Awqakuq	Marso
Kinya	Kenjo
Ithiyupya	Etiopio
Gana	Ganao
Ayriway killa	Aprilo
Aymuray killa	Majo
Inti raymi killa	Junio
Anta situwa killa	Julio
Chakra yapuy killa	Aŭgusto
Tarpuy killa	Septembro
Kantaray killa	Oktobro
Ayamarq'a killa	Novembro
Qhapaq raymi killa	Decembro
Atipachaw	Mardo
Quyllurchaw	Merkredo
Illapachaw	Ĵaŭdo
Ch'askachaw	Vendredo
K'uychichaw	Sabato
Intichaw	Dimanĉo
Liyun	Leono
Ransiya	Francio
Esperanto simi	Esperanto
Allqu	Hundo
Hukllachasqa Qhapaq Suyu	Unuiĝinta Reĝlando
Michi	Hejma kato
Chunwa Runallaqta Ripuwlika	Ĉina Popola Respubliko
Ransis simi	Franca lingvo
Challwa	Fiŝoj
Ethanul	Etanolo
Brasil	Brazilo
Alkul	Alkoholo
François Hollande	François Hollande
Rusiya	Rusio
Wallina	Cetacoj
Q'aytucha	Fibro
T'asra	Kvadrato (geometrio)
Hatun qucha	Maro
Yana hatun qucha	Nigra Maro
Chiqaluwa	Pi (nombro)
Wiki	Vikio
Toronto	Toronto
Alabama suyu	Alabamo
São Paulo	San-Paŭlo (urbo)
