Africa	Afriko
Japonia	Japanio
America de Sud	Sudameriko
Norvegia	Norvegio
Anglia	Anglio
Scoția	Skotlando
Țara Galilor	Kimrio
Irlanda de Nord	Nord-Irlando
Irlanda	Irlando
Ungaria	Hungario
Spania	Hispanio
Statele Unite ale Americii	Usono
Belgia	Belgio
Luxemburg	Luksemburgo (lando)
Univers	Universo
Pământ	Tero
Viață	Vivo
Moarte	Morto
Om	Homo
Fericire	Feliĉo
Triskaidekafobie	Dektrifobio
George Washington	George Washington
Douglas Adams	Douglas Adams
Tim Berners-Lee	Tim Berners-Lee
Numărul fiarei	Nombro de la bestio
Stanley Kubrick	Stanley Kubrick
Calendarul mayaș	Majaa kalendaro
Wikidata	Vikidatumoj
Finlanda	Finnlando
Suedia	Svedio
Danemarca	Danio
Polonia	Pollando
Lituania	Litovio
Italia	Italio
Elveția	Svislando
Austria	Aŭstrio
Grecia	Grekio
Turcia	Turkio
Bere	Biero
Portugalia	Portugalio
Europa	Eŭropo
Asia	Azio
America de Nord	Nordameriko
Antarctida	Antarkto
Wikipedia	Vikipedio
Țările de Jos	Nederlando
Penis	Peniso
PHP	PHP
New York (oraș)	Novjorko
Washington, D.C.	Vaŝingtono
San Francisco	San-Francisko
Berlin	Berlino
Los Angeles	Los-Anĝeleso
Boeing	Boeing
Airbus	Airbus
Calculator	Komputilo
Berna	Berno
Geneva	Ĝenevo
Zürich	Zuriko
IRC	Interreta relajsa babilo
Internet	Interreto
Barack Obama	Barack Obama
Uruguay	Urugvajo
Basel	Bazelo
Imprimantă	Presilo
MediaWiki	MediaVikio
Londra	Londono
Cairo	Kairo
Cefalee	Kapdoloro
Alexandria, Egipt	Aleksandrio
Alexandria, Virginia	Alexandria (Virginio)
Măr	Pomo
Paris	Parizo
Abraham Lincoln	Abraham Lincoln
Android (sistem de operare)	Android
Google	Google
Mexic	Meksiko
Oceanul Atlantic	Atlantika Oceano
Oceanul Pacific	Pacifika Oceano
California	Kalifornio
Boston	Bostono
Luni	Lundo
Spațiu	Spaco
Ianuarie	Januaro
Februarie	Februaro
Martie	Marto
Marte (planetă)	Marso
Marte (zeu)	Marso (dio)
Kenya	Kenjo
Etiopia	Etiopio
Ghana	Ganao
Aprilie	Aprilo
Mai	Majo
Iunie	Junio
Iulie	Julio
August	Aŭgusto
Septembrie	Septembro
Octombrie	Oktobro
Noiembrie	Novembro
Decembrie	Decembro
Marți	Mardo
Miercuri	Merkredo
Joi	Ĵaŭdo
Vineri	Vendredo
Sâmbătă	Sabato
Duminică	Dimanĉo
Nebun (șah)	Kuriero (ŝako)
Pion (șah)	Peono (ŝako)
Cal (șah)	Ĉevalo (ŝako)
Turn (șah)	Turo (ŝako)
Rege (șah)	Reĝo (ŝako)
Regină (șah)	Damo (ŝako)
Leu	Leono
Franța	Francio
Esperanto	Esperanto
Câine	Hundo
Regatul Unit al Marii Britanii și al Irlandei de Nord	Unuiĝinta Reĝlando
Pisică de casă	Hejma kato
Republica Populară Chineză	Ĉina Popola Respubliko
Nyan Cat	Nyan Cat
Limba franceză	Franca lingvo
Wikționar	Vikivortaro
Pește	Fiŝoj
Etanol	Etanolo
Băutură alcoolică	Alkoholaĵo
Brazilia	Brazilo
Alcool	Alkoholo
François Hollande	François Hollande
Rusia	Rusio
Cetacee	Cetacoj
Fibră	Fibro
Fibră optică	Optika fibro
Yorkshire	Jorkŝiro
Pătrat	Kvadrato (geometrio)
