आफ्रिकाखण्डः	Afriko
जपान्	Japanio
दक्षिणामेरिका	Sudameriko
नार्वे	Norvegio
इङ्ग्लेण्डदेशः	Anglio
ऐर्लेण्ड्देशः	Irlando
हंगरी	Hungario
स्पेन्	Hispanio
अमेरिकासंयुक्तराज्यम्	Usono
बेल्जियम्	Belgio
लक्सम्बर्ग	Luksemburgo (lando)
पृथ्वी	Tero
मनुष्यः	Homo
जार्ज वाशिंगटन	George Washington
फिन्लैंड	Finnlando
स्वीडन	Svedio
डेनमार्क	Danio
पोलॅण्ड्	Pollando
लेतुवा	Litovio
इटली	Italio
स्विट्झर्ल्याण्ड्	Svislando
आस्ट्रिया	Aŭstrio
यवनदेशः	Grekio
तुर्की	Turkio
पुर्तगाल	Portugalio
यूरोपखण्डः	Eŭropo
जम्बूद्वीपः	Azio
उत्तर-अमेरिकाखण्डः	Nordameriko
अण्टार्क्टिका	Antarkto
विकिपीडिया	Vikipedio
नेदर्लेण्ड्देशः	Nederlando
शिश्	Peniso
न्‍यू यॉर्क्	Novjorko
वाशिङ्ग्टन् डि सि	Vaŝingtono
लास एंजलस	Los-Anĝeleso
सङ्गणकम्	Komputilo
जिनीवा	Ĝenevo
अन्तरजालम्	Interreto
बराक् ओबामा	Barack Obama
उरुग्वाय	Urugvajo
लन्डन्	Londono
शिरोवेदना	Kapdoloro
सेवफलम्	Pomo
अट्लाण्टिक्-महासागरः	Atlantika Oceano
प्रशान्तमहासागरः	Pacifika Oceano
कालिफ़ोर्निया	Kalifornio
बास्टन्	Bostono
सोमवासरः	Lundo
जनवरी	Januaro
फरवरी	Februaro
मार्च	Marto
मङ्गलः	Marso
केन्या	Kenjo
ईथ्योपिया	Etiopio
घाना	Ganao
अप्रैल	Aprilo
मई	Majo
जून	Junio
जुलाई	Julio
अगस्त	Aŭgusto
सितम्बर	Septembro
अक्तूबर	Oktobro
नवम्बर	Novembro
दिसम्बर	Decembro
मङ्गलवासरः	Mardo
बुधवासरः	Merkredo
गुरुवासरः	Ĵaŭdo
शुक्रवासरः	Vendredo
शनिवासरः	Sabato
रविवासरः	Dimanĉo
फ्रान्सदेशः	Francio
एस्पेरान्तो	Esperanto
शुनकः	Hundo
संयुक्त अधिराज्य	Unuiĝinta Reĝlando
मार्जालः	Hejma kato
फ्रांसीसी भाषा	Franca lingvo
मत्स्याः	Fiŝoj
ब्रासील	Brazilo
रशिया	Rusio
अलाबामा	Alabamo
साओ पाओलो	San-Paŭlo (urbo)
विकिमीडिया	Fondaĵo Vikimedio
जर्मनी	Germanio
बेलारूस	Belorusio
जर्मन् भाषा	Germana lingvo
आइसलैंड	Islando
एस्टोनिया	Estonio
शनिः	Saturno (planedo)
युद्धम्	Milito
शून्यम् (सङ्ख्या)	Nulo
जार्ज डबल्यु बुश	George W. Bush
लाट्विया	Latvio
ज़ेक् रिपब्लिक	Ĉeĥio
स्लोवाकिया	Slovakio
स्लोवीनिया	Slovenio
मोल्दोवा	Moldava Respubliko
बुल्गारिया	Bulgario
रोमा	Romo
मेसेडोनिया	Respubliko Makedonio
अल्बेनिया	Albanio
क्रोएशिया	Kroatio
बास्निया	Bosnio kaj Hercegovino
अजर्बैजान	Azerbajĝano
अण्डोरा	Andoro
जार्जिया (देशः)	Kartvelio
कजाकस्थान	Kazaĥio
माल्टा	Malto
मोनाको	Monako
वैटिकन	Vatikano
सान मरीनो	San-Marino
क्यूबा	Kubo
बेलीज	Belizo
बार्बाडोस	Barbado
इण्डोनेशिया	Indonezio
वोल्फगांग आमाडेउस मोझार्ट	Wolfgang Amadeus Mozart
दक्षिण-आफ्रिका	Sud-Afriko
अल्जीरिया	Alĝerio
उजबेकिस्थान	Uzbekujo
जलम्	Akvo
दूरदर्शनम्	Televido
चिलि	Ĉilio
बुधः	Merkuro (planedo)
इतिहासः	Historio
एप्पल्	Apple
शुक्रः	Venuso (planedo)
भाषा	Lingvo
आकाशगङ्गा	Galaksio
गुरुग्रहः	Jupitero (planedo)
मिशेल बाचेलेत	Michelle Bachelet
बिग्-ब्याङ्ग्	Praeksplodo
युरेनस्-ग्रहः	Urano (planedo)
नेप्चून्-ग्रहः	Neptuno (planedo)
ज्योतिषशास्त्रम्	Astronomio
सिङ्गापुरम्	Singapuro
विज्ञानम्	Scienco
खगोलशास्त्रम्	Kosmologio
प्लूटो-ग्रहः	Plutono
लिक्टनस्टैन	Liĥtenŝtejno
ऐडॉल्फ् हिटलर्	Adolf Hitler
फेस्बुक्	Facebook
द्वितीयविश्वयुद्धम्	Dua mondmilito
भ्रष्टाचारः	Korupto
विकिसूक्तयः	Vikicitaro
गणितम्	Matematiko
लातिनी	Latina lingvo
बहरैन	Barejno
आर्मीनिया	Armenio
सर्बिया	Serbio
चन्द्रः	Luno
आस्ट्रेलिया	Aŭstralio
भौतिकशास्त्रम्	Fiziko
अर्जण्टिना	Argentino
पेरु	Peruo
जीवशास्त्रम्	Biologio
उत्तर कोरिया	Nord-Koreio
कुरान्	Korano
इस्लाम्-मतम्	Islamo
वनस्पतिविज्ञानम्	Plantoscienco
लेक वलेंसा	Lech Wałęsa
कविता	Poezio
जम्बीरम्	Citrono
कदलीफलम्	Banano
६६६	666
पुष्पाणि	Floro
सगरमाथा	Ĉomolungmo
नेपोलियन बोनापार्ट	Napoleono Bonaparte
तारा	Stelo
सूर्यः	Suno
लूयीस् पाश्चर्	Louis Pasteur
ग्रामः	Vilaĝo
विक्टर ह्यूगो	Victor Hugo
ओशीनिया	Oceanio
सूर्यमंडलम्	Sunsistemo
उदजन	Hidrogeno
हीलियम्	Heliumo
लीथियम्	Litio
अहोरात्रम्	Tago
वर्षः	Jaro
लिस्बन	Lisbono
बोरान	Boro
