Afrihkká	Afriko
Jáhpan	Japanio
Lulli-Amerihkká	Sudameriko
Norga	Norvegio
Englánda	Anglio
Irlánda	Irlando
Ungára	Hungario
Spánia	Hispanio
Amerihká ovttastuvvan stáhtat	Usono
Belgia	Belgio
Luxemburg	Luksemburgo (lando)
Eana	Tero
Olmmoš	Homo
Suopma	Finnlando
Ruoŧŧa	Svedio
Dánmárku	Danio
Polska	Pollando
Lietuva	Litovio
Itália	Italio
Šveica	Svislando
Nuortariika	Aŭstrio
Greika	Grekio
Durka	Turkio
Portugal	Portugalio
Eurohpá	Eŭropo
Ásia	Azio
Davvi-Amerihkká	Nordameriko
Antárktis	Antarkto
Wikipedia	Vikipedio
Vuolleeatnamat	Nederlando
Washington D.C.	Vaŝingtono
Berlin	Berlino
Los Angeles	Los-Anĝeleso
Bern	Berno
Barack Obama	Barack Obama
Uruguay	Urugvajo
London	Londono
Kairo	Kairo
Paris	Parizo
Meksiko	Meksiko
Atlánta	Atlantika Oceano
Jaskesáhpi	Pacifika Oceano
Kalifornia	Kalifornio
Vuossárga	Lundo
Ođđajagimánnu	Januaro
Guovvamánnu	Februaro
Njukčamánnu	Marto
Mars	Marso
Kenia	Kenjo
Etiopia	Etiopio
Ghana	Ganao
Cuoŋománnu	Aprilo
Miessemánnu	Majo
Geassemánnu	Junio
Suoidnemánnu	Julio
Borgemánnu	Aŭgusto
Čakčamánnu	Septembro
Golggotmánnu	Oktobro
Skábmamánnu	Novembro
Juovlamánnu	Decembro
Maŋŋebárga	Mardo
Gaskavahkku	Merkredo
Duorastat	Ĵaŭdo
Bearjadat	Vendredo
Lávvardat	Sabato
Sotnabeaivi	Dimanĉo
Ledjon	Leono
Frankriika	Francio
Esperantogiella	Esperanto
Ovttastuvvan gonagasriika	Unuiĝinta Reĝlando
Bussá	Hejma kato
Kiinná	Ĉina Popola Respubliko
Fránskkagiella	Franca lingvo
Brasilia	Brazilo
François Hollande	François Hollande
Ruošša	Rusio
Hvaler	Cetacoj
Kvadráhta	Kvadrato (geometrio)
Π	Pio (litero)
Toronto	Toronto
Alabama	Alabamo
São Paulo	San-Paŭlo (urbo)
Duiska	Germanio
Vilges-Ruošša	Belorusio
Duiskkagiella	Germana lingvo
Islánda	Islando
Estteeana	Estonio
Saturn	Saturno (planedo)
Agálašvuohta	Senfineco
George W. Bush	George W. Bush
Rektáŋgel	Ortangulo
Látvia	Latvio
Ukraina	Ukrainio
Čeahkka	Ĉeĥio
Slovakia	Slovakio
Slovenia	Slovenio
Vilnius	Vilno
Moldova	Moldava Respubliko
Románia	Rumanio
Bulgária	Bulgario
Roma	Romo
Makedonia	Respubliko Makedonio
Albánia	Albanio
Kalaallit Nunaat	Gronlando
Kroatia	Kroatio
Bosnia ja Hercegovina	Bosnio kaj Hercegovino
Nuuk	Nuko (Gronlando)
Aserbaižan	Azerbajĝano
Andorra	Andoro
Kypros	Kipro
Georgia	Kartvelio
Kasakstan	Kazaĥio
Malta	Malto
Monaco	Monako
Montenegro	Montenegro
Vatikána	Vatikano
San Marino	San-Marino
Bryssel	Brusela Ĉefurba Regiono
Cuba	Kubo
Belize	Belizo
Eiffel-toardna	Eiffel-Turo
Barbados	Barbado
Boallobeavdi	Komputila klavaro
Indonesia	Indonezio
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Durkkagiella	Turka lingvo
Lulli-Afrihkká	Sud-Afriko
Algeria	Alĝerio
Usbekistan	Uzbekujo
Čurolastašattut	Drozero
Warszawa	Varsovio
Eurovision lávllagilvvohallan	Eŭrovido-Kantokonkurso
Čáhci	Akvo
Islánddagiella	Islanda lingvo
Chile	Ĉilio
Jesus	Jesuo Kristo
Merkur	Merkuro (planedo)
Apple Inc.	Apple
Venus	Venuso (planedo)
Giella	Lingvo
Jupiter	Jupitero (planedo)
Álgobávkkeheapmi	Praeksplodo
Uranus	Urano (planedo)
Bretagne	Bretonio
Neptun	Neptuno (planedo)
Singapore	Singapuro
Liechtenstein	Liĥtenŝtejno
Nubbi máilmmisoahti	Dua mondmilito
Augusto Pinochet	Augusto Pinochet
Skopje	Skopjo
Bob Dylan	Bob Dylan
Láhtengiella	Latina lingvo
Bahrain	Barejno
Armenia	Armenio
Higgsa boson	Bosono de Higgs
Serbia	Serbio
Mánnu	Luno
Istanbul	Istanbulo
Australia	Aŭstralio
Argentiinná	Argentino
Peru	Peruo
Davvi-Korea	Nord-Koreio
Cambodja	Kamboĝo
Isláma	Islamo
Pearamuorat	Pirarbo
