Африка	Afriko
Јапан	Japanio
Јужна Америка	Sudameriko
Норвешка	Norvegio
Енглеска	Anglio
Шкотска	Skotlando
Велс	Kimrio
Северна Ирска	Nord-Irlando
Република Ирска	Irlando
Мађарска	Hungario
Шпанија	Hispanio
Сједињене Америчке Државе	Usono
Белгија	Belgio
Луксембург	Luksemburgo (lando)
Свемир	Universo
Земља	Tero
Живот	Vivo
Смрт	Morto
Човек	Homo
Срећа	Feliĉo
Трискаидекафобија	Dektrifobio
Џорџ Вашингтон	George Washington
Даглас Адамс	Douglas Adams
Тим Бернерс-Ли	Tim Berners-Lee
Стенли Кјубрик	Stanley Kubrick
Мајански календар	Majaa kalendaro
Википодаци	Vikidatumoj
Финска	Finnlando
Шведска	Svedio
Данска	Danio
Пољска	Pollando
Литванија	Litovio
Италија	Italio
Швајцарска	Svislando
Аустрија	Aŭstrio
Грчка	Grekio
Турска	Turkio
Пиво	Biero
Португалија	Portugalio
Европа	Eŭropo
Азија	Azio
Северна Америка	Nordameriko
Антарктик	Antarkto
Википедија	Vikipedio
Холандија	Nederlando
Пенис	Peniso
PHP	PHP
Њујорк	Novjorko
Вашингтон	Vaŝingtono
Сан Франциско	San-Francisko
Берлин	Berlino
Лос Анђелес	Los-Anĝeleso
Боинг	Boeing
Ербас	Airbus
Рачунар	Komputilo
Берн	Berno
Женева	Ĝenevo
Цирих	Zuriko
ИРЦ	Interreta relajsa babilo
Интернет	Interreto
Барак Обама	Barack Obama
Уругвај	Urugvajo
Базел	Bazelo
Штампач	Presilo
Медијавики	MediaVikio
Лондон	Londono
Каиро	Kairo
Главобоља	Kapdoloro
Александрија	Aleksandrio
Александрија (Вирџинија)	Alexandria (Virginio)
Јабука	Pomo
Париз	Parizo
Абрахам Линколн	Abraham Lincoln
Андроид (оперативни систем)	Android
Гугл	Google
Мексико	Meksiko
Атлантски океан	Atlantika Oceano
Тихи океан	Pacifika Oceano
Калифорнија	Kalifornio
Бостон	Bostono
Понедељак	Lundo
Простор	Spaco
Јануар	Januaro
Фебруар	Februaro
Март	Marto
Марс	Marso
Марс (бог)	Marso (dio)
Кенија	Kenjo
Етиопија	Etiopio
Гана	Ganao
Април	Aprilo
Мај	Majo
Јун	Junio
Јул	Julio
Август	Aŭgusto
Септембар	Septembro
Октобар	Oktobro
Новембар	Novembro
Децембар	Decembro
Уторак	Mardo
Среда	Merkredo
Четвртак	Ĵaŭdo
Петак	Vendredo
Субота	Sabato
Недеља	Dimanĉo
Ловац (шах)	Kuriero (ŝako)
Пешак (шах)	Peono (ŝako)
Скакач (шах)	Ĉevalo (ŝako)
Топ (шах)	Turo (ŝako)
Краљ (шах)	Reĝo (ŝako)
Краљица (шах)	Damo (ŝako)
Лав	Leono
Француска	Francio
Есперанто	Esperanto
Пас	Hundo
Уједињено Краљевство	Unuiĝinta Reĝlando
Мачка	Hejma kato
Кина	Ĉina Popola Respubliko
Француски језик	Franca lingvo
Викиречник	Vikivortaro
Рибе	Fiŝoj
Етанол	Etanolo
Алкохолно пиће	Alkoholaĵo
Бразил	Brazilo
Алкохол	Alkoholo
Франсоа Оланд	François Hollande
Русија	Rusio
Китови	Cetacoj
Оптичко влакно	Optika fibro
Јоркшир	Jorkŝiro
Квадрат	Kvadrato (geometrio)
Море	Maro
Црно море	Nigra Maro
Пи	Pi (nombro)
Pi (slovo)	Pio (litero)
Међународна пиратска партија	Internacia Pirata Partio
Вики	Vikio
Торонто	Toronto
Алабама	Alabamo
Сао Пауло	San-Paŭlo (urbo)
Сао Пауло (држава)	San-Paŭlo
Квебек	Kebekio
Пица	Pico
Боинг 747	Boeing 747
Задужбина Викимедије	Fondaĵo Vikimedio
Џими Вејлс	Jimmy Wales
Немачка	Germanio
Белорусија	Belorusio
Лари Сангер	Larry Sanger
Италијанска браћа	Il Canto degli Italiani
Немачки језик	Germana lingvo
Исланд	Islando
Бог	Dio
Естонија	Estonio
Дејвид Камерон	David Cameron
Сатурн	Saturno (planedo)
Сатурнови прстенови	Ringoj de Saturno
Чоколада	Ĉokolado
Авион	Aviadilo
Рат	Milito
1 (број)	1 (nombro)
2 (број)	2 (nombro)
3 (број)	3 (nombro)
4 (број)	4 (nombro)
5 (број)	5 (nombro)
0 (број)	Nulo
Бесконачност	Senfineco
Стивен Харпер	Stephen Harper
Џорџ В. Буш	George W. Bush
Правоугаоник	Ortangulo
Летонија	Latvio
Украјина	Ukrainio
Чешка	Ĉeĥio
Словачка	Slovakio
Словенија	Slovenio
Вилњус	Vilno
Молдавија	Moldava Respubliko
Румунија	Rumanio
Бугарска	Bulgario
Рим	Romo
Република Македонија	Respubliko Makedonio
Албанија	Albanio
Гренланд	Gronlando
Хрватска	Kroatio
Босна и Херцеговина	Bosnio kaj Hercegovino
Нук	Nuko (Gronlando)
Азербејџан	Azerbajĝano
Андора	Andoro
Кипар	Kipro
Грузија	Kartvelio
Валонија	Valonio
Казахстан	Kazaĥio
Малта	Malto
Фландрија	Flandrio
Монако	Monako
Црна Гора	Montenegro
Ватикан	Vatikano
Сан Марино	San-Marino
Брисел	Bruselo
Бриселски регион	Brusela Ĉefurba Regiono
Куба	Kubo
Белизе	Belizo
Ајфелова кула	Eiffel-Turo
Барбадос	Barbado
Фолксваген	Volkswagen
Интел	Intel
Тастатура	Komputila klavaro
Јава (програмски језик)	Java (programlingvo)
Индонезија	Indonezio
QWERTY	QWERTY
Волфганг Амадеус Моцарт	Wolfgang Amadeus Mozart
Лудвиг ван Бетовен	Ludwig van Beethoven
Турски језик	Turka lingvo
Јужноафричка Република	Sud-Afriko
Жан Франсоа Шамполион	Jean-François Champollion
Линкин парк	Linkin Park
Алжир	Alĝerio
Викизворник	Vikifontaro
Узбекистан	Uzbekujo
Росуља	Drozero
Познањ	Poznano
Ташкент	Taŝkento
Варшава	Varsovio
Ајлеј	Islay
Песма Евровизије	Eŭrovido-Kantokonkurso
Модена	Modeno
Виски	Viskio
Вино	Vino
Вода	Akvo
Коњак	Konjako
Коњак (Шарант)	Cognac
Koža (materijal)	Ledo
Дрво (материјал)	Ligno
Тур (град)	Tours
Телевизија	Televido
Пол	Sekso
Порнографија	Pornografio
Исландски језик	Islanda lingvo
Клод Моне	Claude Monet
Дијего Веласкез	Diego Velázquez
Чиле	Ĉilio
Ел Греко	El Greco
Исус	Jesuo Kristo
Елвис Пресли	Elvis Presley
Себастијан Пињера	Sebastián Piñera
Галилео Галилеј	Galilejo
Меркур	Merkuro (planedo)
Историја	Historio
Пер Лашез	Tombejo Père-Lachaise
Епл	Apple
Венера	Venuso (planedo)
Језик	Lingvo
Љубав	Amo
Диктатура	Diktatoreco
Галаксија	Galaksio
Јупитер	Jupitero (planedo)
Мишел Башеле	Michelle Bachelet
Млечни пут	Lakta vojo
Ланферпулгвингилгогерихверндробуландисилиогогогох	Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch
Велики прасак	Praeksplodo
Уран	Urano (planedo)
Бретања	Bretonio
Википедија на енглеском језику	Anglalingva Vikipedio
Никола Саркози	Nicolas Sarkozy
Нептун	Neptuno (planedo)
Астрономија	Astronomio
Сингапур	Singapuro
Наука	Scienco
Космологија	Kosmologio
Плутон	Plutono
Монтреал	Montrealo
Слободни софтвер	Libera programaro
Кемпер	Quimper
Будућност	Estonteco
Богородица	Maria (patrino de Jesuo)
Луј IX	Ludoviko la 9-a (Francio)
Лихтенштајн	Liĥtenŝtejno
Спорт	Sporto
Кембриџ	Kembriĝo (Britio)
Јелоустоун	Nacia Parko Yellowstone
Адолф Хитлер	Adolf Hitler
Бланка од Кастиље	Blanka de Kastilio
Фејсбук	Facebook
Споменик културе	Protektita monumento
Викиликс	WikiLeaks
Џулијан Асанж	Julian Assange
Први светски рат	Unua mondmilito
Други светски рат	Dua mondmilito
Трећи светски рат	Tria mondmilito
Келн	Kolonjo
Корупција	Korupto
Викикњиге	Vikilibroj
Аугусто Пиноче	Augusto Pinochet
Викицитат	Vikicitaro
!!!	!!!
Вотка	Vodko
Бакин колач	Vaflo
Часовник	Horloĝo
Ubuntu	Ubuntu (linukso)
Скопље	Skopjo
Гдиња	Gdynia
Линукс	Linukso
Боб Дилан	Bob Dylan
Шчећин	Szczecin
Математика	Matematiko
U2	U2
Латински језик	Latina lingvo
Бахреин	Barejno
Јерменија	Armenio
Клинасто писмо	Kojnoskribo
Хигсов бозон	Bosono de Higgs
Србија	Serbio
Месец	Luno
Истанбул	Istanbulo
Линда Лавлејс	Linda Lovelace
Аустралија	Aŭstralio
Боб Марли	Bob Marley
Карл Сејган	Carl Sagan
Астробиологија	Astrobiologio
Pionirova plaketa	Tabulo de la kosmosondiloj Pioneer
Физика	Fiziko
Аргентина	Argentino
Телекомуникације	Telekomunikado
Перу	Peruo
Биологија	Biologio
Неидентификовани летећи објекат	Nifo
Северна Кореја	Nord-Koreio
Камбоџа	Kamboĝo
Којперов појас	Kujper-zono
Куран	Korano
Диносауруси	Dinosaŭro
Зоологија	Bestoscienco
Ислам	Islamo
Крушка	Pirarbo
Александријска библиотека	Librejo de Aleksandrio
Љубљана	Ljubljano
Вонхоцк	Wąchock
Салвадор Аљенде	Salvador Allende
Ботаника	Plantoscienco
Лех Валенса	Lech Wałęsa
Точак	Rado
Француска енциклопедија	Encyclopédie ou dictionnaire raisonné des sciences, des arts et des métiers
Дени Дидро	Denis Diderot
Ум	Menso
Боркен	Borken (Nordrejn-Vestfalio)
Мир	Paco
Енциклопедија Британика	Encyclopaedia Britannica
Лион	Liono
Поаси	Poissy
Европска унија	Eŭropa Unio
Пловдив	Plovdiv
Звездани ратови	Star Wars
Рона-Алпи	Rodano-Alpoj
Светска мрежа	TTT
Жена	Virino
Дајсонова сфера	Dajsonstrukturo
Софија	Sofio
Акведукт	Akvedukto
Дон Кихот	Kiĥoto
Поезија	Poezio
Рачунарски вирус	Komputviruso
Чернобиљска катастрофа	Nuklea akcidento de Ĉernobilo
Милано	Milano
Пријатељство	Amikeco
Памћење	Memoro
Артур Рембо	Arthur Rimbaud
Торино	Torino
Измет	Fekaĵo
Анус	Anuso
Limun	Citrono
Шарл Бодлер	Charles Baudelaire
Стендал	Stendhal
Банана	Banano
Емил Зола	Émile Zola
666	666
Цвет	Floro
Гугол	Guglo
Маријански ров	Mariana Fosego
Владимир Висоцки	Vladimir Visockij
Монт Еверест	Ĉomolungmo
Анатомија	Anatomio
Град	Urbo
Наполеон I Бонапарта	Napoleono Bonaparte
Олимп (Марс)	Olympus Mons
Физиологија	Fiziologio
Звезда	Stelo
Везув	Vezuvio
Сунце	Suno
Небо	Ĉielo
Луј Пастер	Louis Pasteur
Светлосна година	Lumjaro
Село	Vilaĝo
Виктор Иго	Victor Hugo
Океанија	Oceanio
Ђузепе Гарибалди	Giuseppe Garibaldi
Орвијето	Orvieto
Атлетика	Atletiko
Цензура	Cenzuro
Сунчев систем	Sunsistemo
Балтичко море	Balta Maro
Трст	Triesto
Висла	Vistulo
Јелисејска поља (Париз)	Avenuo de la Elizeaj Kampoj
Одра	Odro
Зуб	Dento
Водоник	Hidrogeno
Хелијум	Heliumo
Пакао	Infero
Остава Викимедије	Vikimedia Komunejo
Чистилиште	Purgatorio
Ангела Меркел	Angela Merkel
Литијум	Litio
Берилијум	Berilio
Рачунарски звучник	Laŭtparolilo
Књига	Libro
Дан	Tago
Источни Тимор	Orienta Timoro
Ноћ	Nokto
Година	Jaro
