ทวีปแอฟริกา	Afriko
ประเทศญี่ปุ่น	Japanio
ทวีปอเมริกาใต้	Sudameriko
ประเทศนอร์เวย์	Norvegio
ประเทศอังกฤษ	Anglio
ประเทศสกอตแลนด์	Skotlando
ประเทศเวลส์	Kimrio
ไอร์แลนด์เหนือ	Nord-Irlando
ประเทศไอร์แลนด์	Irlando
ประเทศฮังการี	Hungario
ประเทศสเปน	Hispanio
สหรัฐอเมริกา	Usono
ประเทศเบลเยียม	Belgio
ประเทศลักเซมเบิร์ก	Luksemburgo (lando)
เอกภพ	Universo
โลก (ดาวเคราะห์)	Tero
ชีวิต	Vivo
ความตาย	Morto
มนุษย์	Homo
ความสุข	Feliĉo
อาการกลัวเลขสิบสาม	Dektrifobio
จอร์จ วอชิงตัน	George Washington
ทิม เบอร์เนิร์ส-ลี	Tim Berners-Lee
ลีท	Leet
สแตนลีย์ คูบริก	Stanley Kubrick
วิกิสนเทศ	Vikidatumoj
ประเทศฟินแลนด์	Finnlando
ประเทศสวีเดน	Svedio
ประเทศเดนมาร์ก	Danio
ประเทศโปแลนด์	Pollando
ประเทศลิทัวเนีย	Litovio
ประเทศอิตาลี	Italio
ประเทศสวิตเซอร์แลนด์	Svislando
ประเทศออสเตรีย	Aŭstrio
ประเทศกรีซ	Grekio
ประเทศตุรกี	Turkio
เบียร์	Biero
ประเทศโปรตุเกส	Portugalio
ทวีปยุโรป	Eŭropo
ทวีปเอเชีย	Azio
ทวีปอเมริกาเหนือ	Nordameriko
ทวีปแอนตาร์กติกา	Antarkto
วิกิพีเดีย	Vikipedio
ประเทศเนเธอร์แลนด์	Nederlando
องคชาต	Peniso
ภาษาพีเอชพี	PHP
นครนิวยอร์ก	Novjorko
วอชิงตัน ดี.ซี.	Vaŝingtono
ซานฟรานซิสโก	San-Francisko
เบอร์ลิน	Berlino
ลอสแอนเจลิส	Los-Anĝeleso
โบอิง	Boeing
แอร์บัส	Airbus
คอมพิวเตอร์	Komputilo
เบิร์น	Berno
เจนีวา	Ĝenevo
ซูริก	Zuriko
ไออาร์ซี	Interreta relajsa babilo
อินเทอร์เน็ต	Interreto
บารัค โอบามา	Barack Obama
ประเทศอุรุกวัย	Urugvajo
บาเซิล	Bazelo
เครื่องพิมพ์	Presilo
มีเดียวิกิ	MediaVikio
ลอนดอน	Londono
ไคโร	Kairo
ปวดศีรษะ	Kapdoloro
อะเล็กซานเดรีย	Aleksandrio
แอปเปิล	Pomo
ปารีส	Parizo
อับราฮัม ลินคอล์น	Abraham Lincoln
แอนดรอยด์ (ระบบปฏิบัติการ)	Android
กูเกิล	Google
ประเทศเม็กซิโก	Meksiko
มหาสมุทรแอตแลนติก	Atlantika Oceano
มหาสมุทรแปซิฟิก	Pacifika Oceano
รัฐแคลิฟอร์เนีย	Kalifornio
บอสตัน	Bostono
วันจันทร์	Lundo
ปริภูมิ	Spaco
มกราคม	Januaro
กุมภาพันธ์	Februaro
มีนาคม	Marto
ดาวอังคาร	Marso
มาร์ส	Marso (dio)
ประเทศเคนยา	Kenjo
ประเทศเอธิโอเปีย	Etiopio
ประเทศกานา	Ganao
เมษายน	Aprilo
พฤษภาคม	Majo
มิถุนายน	Junio
กรกฎาคม	Julio
สิงหาคม	Aŭgusto
กันยายน	Septembro
ตุลาคม	Oktobro
พฤศจิกายน	Novembro
ธันวาคม	Decembro
วันอังคาร	Mardo
วันพุธ	Merkredo
วันพฤหัสบดี	Ĵaŭdo
วันศุกร์	Vendredo
วันเสาร์	Sabato
วันอาทิตย์	Dimanĉo
บิชอป (หมากรุก)	Kuriero (ŝako)
เบี้ย (หมากรุก)	Peono (ŝako)
ม้า (หมากรุก)	Ĉevalo (ŝako)
เรือ (หมากรุก)	Turo (ŝako)
ขุน (หมากรุก)	Reĝo (ŝako)
ควีน (หมากรุก)	Damo (ŝako)
สิงโต	Leono
ประเทศฝรั่งเศส	Francio
ภาษาเอสเปรันโต	Esperanto
หมา	Hundo
สหราชอาณาจักร	Unuiĝinta Reĝlando
แมว	Hejma kato
ประเทศจีน	Ĉina Popola Respubliko
ภาษาฝรั่งเศส	Franca lingvo
วิกิพจนานุกรม	Vikivortaro
ปลา	Fiŝoj
เอทานอล	Etanolo
เครื่องดื่มแอลกอฮอล์	Alkoholaĵo
ประเทศบราซิล	Brazilo
แอลกอฮอล์	Alkoholo
ฟร็องซัว ออล็องด์	François Hollande
ประเทศรัสเซีย	Rusio
อันดับวาฬและโลมา	Cetacoj
ใยแก้วนำแสง	Optika fibro
ยอร์กเชอร์	Jorkŝiro
รูปสี่เหลี่ยมจัตุรัส	Kvadrato (geometrio)
ทะเล	Maro
ทะเลดำ	Nigra Maro
พาย (ค่าคงตัว)	Pi (nombro)
พาย (อักษรกรีก)	Pio (litero)
วิกิ	Vikio
โทรอนโต	Toronto
รัฐแอละแบมา	Alabamo
เซาเปาลู	San-Paŭlo (urbo)
รัฐเซาเปาลู	San-Paŭlo
รัฐควิเบก	Kebekio
พิซซ่า	Pico
โบอิง 747	Boeing 747
วิกิมีเดีย	Fondaĵo Vikimedio
จิมมี เวลส์	Jimmy Wales
ประเทศเยอรมนี	Germanio
ประเทศเบลารุส	Belorusio
แลร์รี แซงเจอร์	Larry Sanger
อิลกันโตเดลยีอีตาเลียนี	Il Canto degli Italiani
ภาษาเยอรมัน	Germana lingvo
ประเทศไอซ์แลนด์	Islando
พระเป็นเจ้า	Dio
ประเทศเอสโตเนีย	Estonio
เดวิด แคเมอรอน	David Cameron
ดาวเสาร์	Saturno (planedo)
วงแหวนของดาวเสาร์	Ringoj de Saturno
ช็อกโกแลต	Ĉokolado
เครื่องบิน	Aviadilo
สงคราม	Milito
1	1 (nombro)
2	2 (nombro)
3	3 (nombro)
4	4 (nombro)
5	5 (nombro)
0	Nulo
อนันต์	Senfineco
สตีเฟน ฮาร์เปอร์	Stephen Harper
จอร์จ ดับเบิลยู. บุช	George W. Bush
รูปสี่เหลี่ยมมุมฉาก	Ortangulo
มุมฉาก	Orto
ประเทศลัตเวีย	Latvio
ประเทศยูเครน	Ukrainio
สาธารณรัฐเช็ก	Ĉeĥio
ประเทศสโลวาเกีย	Slovakio
ประเทศสโลวีเนีย	Slovenio
วิลนีอุส	Vilno
ประเทศมอลโดวา	Moldava Respubliko
ประเทศโรมาเนีย	Rumanio
ประเทศบัลแกเรีย	Bulgario
โรม	Romo
ประเทศมาซิโดเนีย	Respubliko Makedonio
ประเทศแอลเบเนีย	Albanio
กรีนแลนด์	Gronlando
ประเทศโครเอเชีย	Kroatio
