Aprika	Afriko
Hapon	Japanio
Timog Amerika	Sudameriko
Noruwega	Norvegio
Inglatera	Anglio
Scotland	Skotlando
Wales	Kimrio
Kahilagaang Irlanda	Nord-Irlando
Irlanda (bansa)	Irlando
Unggarya	Hungario
Espanya	Hispanio
Estados Unidos	Usono
Belhika	Belgio
Luxembourg	Luksemburgo (lando)
Sansinukob	Universo
Daigdig	Tero
Buhay	Vivo
Kamatayan	Morto
Tao	Homo
George Washington	George Washington
Tim Berners-Lee	Tim Berners-Lee
Bilang ng Halimaw	Nombro de la bestio
Stanley Kubrick	Stanley Kubrick
Finland	Finnlando
Sweden	Svedio
Dinamarka	Danio
Poland	Pollando
Lithuania	Litovio
Italya	Italio
Suwisa	Svislando
Austria	Aŭstrio
Gresya	Grekio
Turkiya	Turkio
Serbesa	Biero
Portugal	Portugalio
Europa	Eŭropo
Asya	Azio
Hilagang Amerika	Nordameriko
Antartiko	Antarkto
Wikipedia	Vikipedio
Netherlands	Nederlando
Titi	Peniso
PHP	PHP
Lungsod ng New York	Novjorko
Washington, D.C.	Vaŝingtono
San Francisco, California	San-Francisko
Berlin	Berlino
Los Angeles, California	Los-Anĝeleso
Kompyuter	Komputilo
Berna	Berno
Hinebra	Ĝenevo
Zürich	Zuriko
Internet	Interreto
Barack Obama	Barack Obama
Uruguay	Urugvajo
Londres	Londono
Cairo	Kairo
Alehandriya	Aleksandrio
Alexandria, Virginia	Alexandria (Virginio)
Mansanas	Pomo
Paris	Parizo
Abraham Lincoln	Abraham Lincoln
Android	Android
Google	Google
Mehiko	Meksiko
Karagatang Atlantiko	Atlantika Oceano
Karagatang Pasipiko	Pacifika Oceano
California	Kalifornio
Boston, Massachusetts	Bostono
Lunes	Lundo
Enero	Januaro
Pebrero	Februaro
Marso	Marto
Marte	Marso
Marte (mitolohiya)	Marso (dio)
Kenya	Kenjo
Ethiopia	Etiopio
Ghana	Ganao
Abril	Aprilo
Mayo	Majo
Hunyo	Junio
Hulyo	Julio
Agosto	Aŭgusto
Setyembre	Septembro
Oktubre	Oktobro
Nobyembre	Novembro
Disyembre	Decembro
Martes	Mardo
Miyerkules	Merkredo
Huwebes	Ĵaŭdo
Biyernes	Vendredo
Sabado	Sabato
Linggo (araw)	Dimanĉo
Leon	Leono
Pransiya	Francio
Esperanto	Esperanto
Aso	Hundo
United Kingdom	Unuiĝinta Reĝlando
Pusa	Hejma kato
Tsina	Ĉina Popola Respubliko
Nyan Cat	Nyan Cat
Wikang Pranses	Franca lingvo
Wiktionary	Vikivortaro
Isda	Fiŝoj
