Aprika	Afriko
Siapan	Japanio
Saut Amerika	Sudameriko
Nowe	Norvegio
Inglan	Anglio
Skotlan	Skotlando
Wels	Kimrio
Noten Aialan	Nord-Irlando
Ripablik bilong Aialan	Irlando
Hangari	Hungario
Spen	Hispanio
Ol Yunaitet Stet	Usono
Beljiam	Belgio
Giraun	Tero
Pinlan	Finnlando
Suwidan	Svedio
Denmak	Danio
Polan	Pollando
Lituwenia	Litovio
Itali	Italio
Suwisalan	Svislando
Ostria	Aŭstrio
Gris	Grekio
Teki	Turkio
Posugol	Portugalio
Yurop	Eŭropo
Esia	Azio
Not Amerika	Nordameriko
Wikipedia	Vikipedio
Ol Nitelan	Nederlando
Niu Yok Siti	Novjorko
Wasington DC	Vaŝingtono
Berlin	Berlino
Berne	Berno
Intanet	Interreto
Barack Obama	Barack Obama
Landen	Londono
Kairo	Kairo
Paris	Parizo
Meksiko	Meksiko
Solwara Atlantik	Atlantika Oceano
Solwara Pasifik	Pacifika Oceano
Mande	Lundo
Janueri	Januaro
Februeri	Februaro
Mas	Marto
Epril	Aprilo
Me	Majo
Jun	Junio
Julai	Julio
Ogas	Aŭgusto
Septemba	Septembro
Oktoba	Oktobro
Novemba	Novembro
Disemba	Decembro
Tunde	Mardo
Trinde	Merkredo
Fonde	Ĵaŭdo
Fraide	Vendredo
Sarere	Sabato
Sande	Dimanĉo
Frens	Francio
Esperanto	Esperanto
Yunaitet Kingdom	Unuiĝinta Reĝlando
Ol Manmeri Ripablik bilong Saina	Ĉina Popola Respubliko
Tok Frens	Franca lingvo
Wiktionary	Vikivortaro
Rasia	Rusio
San Paulu	San-Paŭlo (urbo)
Siamani	Germanio
Belaras	Belorusio
Tok Jeman	Germana lingvo
Aislan	Islando
God	Dio
Estonia	Estonio
George Walker Bush	George W. Bush
Latvia	Latvio
Yukren	Ukrainio
Sek Ripablik	Ĉeĥio
Slovakia	Slovakio
Vilnius	Vilno
Romenia	Rumanio
Balgeria	Bulgario
Rom	Romo
Albenia	Albanio
Greenland	Gronlando
Krowesia	Kroatio
Azerbaijan	Azerbajĝano
Andora	Andoro
Saipras	Kipro
San Marino	San-Marino
Brussels	Bruselo
Indonisia	Indonezio
Saut Aprika	Sud-Afriko
Woso	Varsovio
Tok Aislan	Islanda lingvo
Jisas	Jesuo Kristo
Histori	Historio
Tokples	Lingvo
Yurenes (planet)	Urano (planedo)
Nicolas Sarkozy	Nicolas Sarkozy
Estronomi	Astronomio
Ubuntu	Ubuntu (linukso)
Szczecin	Szczecin
Ol matematik	Matematiko
U2	U2
Tok Latin	Latina lingvo
Armenia	Armenio
Sebia	Serbio
Mun (i stap long heven)	Luno
Ostrelia	Aŭstralio
Save long laip	Biologio
Not Koria	Nord-Koreio
Islam	Islamo
Lyon	Liono
Sofia	Sofio
Banana	Banano
San	Suno
Osenia	Oceanio
Wikimedia Commons	Vikimedia Komunejo
Buk	Libro
De	Tago
Yia	Jaro
Oslo	Oslo
Katowice	Katowice
Planet	Planedo
Lille	Lille
Mosko	Moskvo
Tok Itali	Itala lingvo
Niu Silan	Nov-Zelando
India	Barato
Tuvalu	Tuvalo
Tonga	Tongo
Samoa	Samoo
Solomon Ailans	Salomonoj
Vanuatu	Vanuatuo
Papua Niugini	Papuo-Nov-Gvineo
Nauru	Nauro
Ol Masol Ailan	Marŝala Insularo
Kiribas	Kiribato
Fiji	Fiĝioj
Abus	Bestoj
At	Arto
Budisim	Budhismo
Sayor	Plantoj
Irak	Irako
Israel	Israelo
Panama	Panamo
Yemen	Jemeno
Tok Polan	Pola lingvo
Amerika (Kontinen)	Ameriko
Malaysia	Malajzio
Platon	Platono
Ripablik bilong Saina	Respubliko Ĉinio
Aristoteles	Aristotelo
Tailan	Tajlando
Vietnam	Vjetnamio
Saut Koria	Sud-Koreio
Socrates	Sokrato
Bhutan	Butano
Brunai	Brunejo
Albert Einstein	Albert Einstein
Yelo (kala)	Flava
Beijing	Pekino
Gabon	Gabono
Gandi	Mohandas Karamchand Gandhi
Lesoto	Lesoto
Naijiria	Niĝerio
Senegal	Senegalo
Sierra Leone	Siera-Leono
Julius Caesar	Julio Cezaro
Save long giraun	Geografio
Kala	Koloro
Blu (kala)	Blua
Bill Clinton	William J. Clinton
Yerusalem	Jerusalemo
Kolorado	Koloradio
Chicago	Ĉikago
Tok Spen	Hispana lingvo
Mani	Mono
Uetersen	Uetersen
Augustus Caesar	Aŭgusto Cezaro
Trajan	Trajano
Tokyo	Tokio
Bagdad	Bagdado
Stockholm	Stokholmo
Dublin	Dublino
Reykjavik	Rejkjaviko
Talin	Talino
Riga	Rigo
Bratislava	Bratislavo
Budapest	Budapeŝto
Katolik	Katolikismo
Baibel	Biblio
Ho Chi Minh City	Ho-Ĉi-Min-urbo
Tru Jisas Lotu	Vera Eklezio de Jesuo
Tokples Inglis	Angla lingvo
Andorra la Vella	Andoro Malnova
Kuala Lumpur	Kuala-Lumpuro
Taipei	Tajpeo
Đồng Hới	Dong Hoi
Concepción	Koncepciono
Ottawa	Otavo
Końskowola	Końskowola
2000	2000
2003	2003
2002	2002
2001	2001
2008	2008
2004	2004
2005	2005
2006	2006
2007	2007
1901	1901
1902	1902
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
1920	1920
1919	1919
1921	1921
1922	1922
1923	1923
1924	1924
Kurów	Kurów
1989	1989
1988	1988
1987	1987
1986	1986
1985	1985
1984	1984
1983	1983
1982	1982
1981	1981
1980	1980
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
Benedict XVI	Benedikto la 16-a
1968	1968
1967	1967
1966	1966
1965	1965
1964	1964
Palermo	Palermo
Soka	Futbalo
1963	1963
1962	1962
Madrid	Madrido
Michael Jackson	Michael Jackson
Göttingen	Göttingen
Kambra	Kanbero
Ret (kala)	Ruĝa
1961	1961
Dakar	Dakaro
Grup:Ol templet bilong tokples	Kategorio:Vikipedio:Ŝablonoj
1960	1960
Freetown	Fritaŭno
Wes Papua	Okcidenta Nov-Gvineo
Skul	Lernejo
Osasku	Osasco (San-Paŭlo)
Ples balus Dong Hoi	Flughaveno Dong Hoi
Kuritiba	Kuritibo
