افریقہ	Afriko
جاپان	Japanio
جنوبی امریکہ	Sudameriko
ناروے	Norvegio
انگلستان	Anglio
سکاٹ لینڈ	Skotlando
ویلز	Kimrio
شمالی آئر لینڈ	Nord-Irlando
جمہوریہ آئرستان	Irlando
مجارستان	Hungario
ہسپانیہ	Hispanio
ریاستہائے متحدہ امریکہ	Usono
بلجئیم	Belgio
لکسمبرگ	Luksemburgo (lando)
کائنات	Universo
زمین	Tero
حیات (مقالہ ثانی)	Vivo
موت (مقالہ ثانی)	Morto
انسان	Homo
خوشی	Feliĉo
جارج واشنگٹن	George Washington
ڈگلس ایڈمس	Douglas Adams
ٹم برنرز لی	Tim Berners-Lee
وحش کا عدد	Nombro de la bestio
سٹینلے کوبریک	Stanley Kubrick
ویکی ڈیٹا	Vikidatumoj
فن لینڈ	Finnlando
سویڈن	Svedio
ڈنمارک	Danio
پولینڈ	Pollando
لتھووینیا	Litovio
اطالیہ	Italio
سویٹزرلینڈ	Svislando
آسٹریا	Aŭstrio
یونان	Grekio
ترکی	Turkio
بیئر	Biero
پرتگال	Portugalio
یورپ	Eŭropo
ایشیاء	Azio
شمالی امریکہ	Nordameriko
انٹارکٹکا	Antarkto
ویکیپیڈیا:ویکیپیڈیا	Vikipedio
نیدرلینڈز	Nederlando
پی ایچ پی	PHP
نیویارک شہر	Novjorko
واشنگٹن ڈی سی	Vaŝingtono
سان فرانسسکو	San-Francisko
برلن	Berlino
لاس اینجلس	Los-Anĝeleso
بوئنگ	Boeing
کمپیوٹر	Komputilo
برن	Berno
جنیوا	Ĝenevo
زیورخ	Zuriko
انٹرنیٹ	Interreto
بارک اوبامہ	Barack Obama
یوراگوئے	Urugvajo
بازیل	Bazelo
طابع	Presilo
میڈیاویکی	MediaVikio
لندن	Londono
قاہرہ	Kairo
سردرد	Kapdoloro
اسکندریہ	Aleksandrio
سیب	Pomo
پیرس	Parizo
ابراہام لنکن	Abraham Lincoln
اینڈروئیڈ	Android
گوگل	Google
بحر اوقیانوس	Atlantika Oceano
بحر الکاہل	Pacifika Oceano
کیلی فورنیا	Kalifornio
بوسٹن, میساچوسٹس	Bostono
پیر	Lundo
جنوری	Januaro
فروری	Februaro
مارچ	Marto
مریخ	Marso
کینیا	Kenjo
ایتھوپیا	Etiopio
گھانا	Ganao
اپریل	Aprilo
مئی	Majo
جون	Junio
جولائی	Julio
اگست	Aŭgusto
ستمبر	Septembro
اکتوبر	Oktobro
نومبر	Novembro
دسمبر	Decembro
منگل	Mardo
بدھ	Merkredo
جمعرات	Ĵaŭdo
جمعہ	Vendredo
ہفتہ	Sabato
اتوار	Dimanĉo
فیلہ (شطرنج)	Kuriero (ŝako)
پیادہ (شطرنج)	Peono (ŝako)
گھوڑا (شطرنج)	Ĉevalo (ŝako)
بادشاہ (شطرنج)	Reĝo (ŝako)
ملکہ (شطرنج)	Damo (ŝako)
ببر (شیر)	Leono
فرانس	Francio
اسپرانتو	Esperanto
کتا	Hundo
برطانیہ	Unuiĝinta Reĝlando
بلی	Hejma kato
چین	Ĉina Popola Respubliko
فرانسیسی زبان	Franca lingvo
ویکی لغت	Vikivortaro
مچھلی	Fiŝoj
ایتھنول	Etanolo
الکحلی مشروب	Alkoholaĵo
برازیل	Brazilo
الکحل	Alkoholo
روس	Rusio
حوتیہ	Cetacoj
ریشہ	Fibro
یارکشائر	Jorkŝiro
مربع (ہندسہ)	Kvadrato (geometrio)
بحیرہ	Maro
بحیرہ اسود	Nigra Maro
پائی	Pi (nombro)
ویکی	Vikio
ٹورانٹو	Toronto
الاباما	Alabamo
ساؤ پاؤلو	San-Paŭlo (urbo)
ساؤ پاؤلو (ریاست)	San-Paŭlo
کیوبیک	Kebekio
مؤسسہ ویکیمیڈیا	Fondaĵo Vikimedio
جیمی ویلز	Jimmy Wales
جرمنی	Germanio
بیلاروس	Belorusio
جرمن زبان	Germana lingvo
آئس لینڈ	Islando
خدا	Dio
استونیا	Estonio
ڈیوڈ کیمرن	David Cameron
زحل	Saturno (planedo)
حلقہ ہائے زحل	Ringoj de Saturno
چاکلیٹ	Ĉokolado
آلو بالو	Ĉerizo
طیارہ	Aviadilo
جنگ	Milito
1 (عدد)	1 (nombro)
2 (عدد)	2 (nombro)
3 (عدد)	3 (nombro)
4 (عدد)	4 (nombro)
5 (عدد)	5 (nombro)
صفر (عدد)	Nulo
متناہی اور لامتناہی	Senfineco
اسٹیفن ہارپر	Stephen Harper
جارج ڈبلیو بش	George W. Bush
مستطیل	Ortangulo
لٹویا	Latvio
یوکرین	Ukrainio
چیک جمہوریہ	Ĉeĥio
سلوواکیہ	Slovakio
سلووینیا	Slovenio
ولنیس	Vilno
مالدووا	Moldava Respubliko
رومانیہ	Rumanio
بلغاریہ	Bulgario
روم	Romo
جمہوریہ مقدونیہ	Respubliko Makedonio
البانیا	Albanio
گرین لینڈ	Gronlando
کروشیا	Kroatio
بوسنیا و ہرزیگووینا	Bosnio kaj Hercegovino
نوک	Nuko (Gronlando)
آذربائیجان	Azerbajĝano
انڈورا	Andoro
قبرص	Kipro
جارجیا	Kartvelio
والونیا	Valonio
قازقستان	Kazaĥio
مالٹا	Malto
فلینڈرس	Flandrio
موناکو	Monako
مونٹینیگرو	Montenegro
ویٹیکن سٹی	Vatikano
سان مارینو	San-Marino
برسلز	Brusela Ĉefurba Regiono
کیوبا	Kubo
بیلیز	Belizo
ایفل ٹاور	Eiffel-Turo
بارباڈوس	Barbado
ووکس ویگن	Volkswagen
تختۂ کلید	Komputila klavaro
انڈونیشیا	Indonezio
وولف گینگ موزارٹ	Wolfgang Amadeus Mozart
لڈوگ بیتھوون	Ludwig van Beethoven
ترکی زبان	Turka lingvo
جنوبی افریقہ	Sud-Afriko
لنکن پارک	Linkin Park
الجزائر	Alĝerio
ازبکستان	Uzbekujo
پوزنان	Poznano
تاشقند	Taŝkento
وارسا	Varsovio
شراب	Vino
پانی	Akvo
چمڑہ	Ledo
لکڑی	Ligno
ٹیلی ویژن	Televido
جنس (حیاتیات)	Sekso
فحش نگاری	Pornografio
ڈیگو ولازکوئز	Diego Velázquez
چلی	Ĉilio
ایل گریکو	El Greco
عیسیٰ علیہ السلام	Jesuo Kristo
ایلوس پریسلے	Elvis Presley
گلیلیو گلیلی	Galilejo
عطارد	Merkuro (planedo)
تاریخ	Historio
ایپل انکارپوریشن	Apple
زہرہ	Venuso (planedo)
لسان	Lingvo
محبت	Amo
آمریت	Diktatoreco
کہکشاں	Galaksio
مشتری	Jupitero (planedo)
مشیل باشیلے	Michelle Bachelet
جادہ شیر	Lakta vojo
انفجار عظیم	Praeksplodo
یورینس	Urano (planedo)
برٹنی	Bretonio
انگریزی ویکیپیڈیا	Anglalingva Vikipedio
نکولس سرکوزی	Nicolas Sarkozy
نیپچون	Neptuno (planedo)
فلکیات	Astronomio
سنگاپور	Singapuro
سائنس	Scienco
علم الکائنات	Kosmologio
پلوٹو	Plutono
مانٹریال	Montrealo
آزاد سوفٹویئر	Libera programaro
لا فلیشی	La Flèche
مستقبل	Estonteco
مریم علیہا السلام	Maria (patrino de Jesuo)
لیختینستائن	Liĥtenŝtejno
کھیل کود	Sporto
کیمبرج	Kembriĝo (Britio)
ییلوسٹون نیشنل پارک	Nacia Parko Yellowstone
ہٹلر	Adolf Hitler
فیس بک	Facebook
گوانتانمو قید خانہ	Malliberejo de Guantanamo
ویکی لیکس	WikiLeaks
جولین اسانژ	Julian Assange
پہلی جنگ عظیم	Unua mondmilito
دوسری جنگ عظیم	Dua mondmilito
