Afrig	Afriko
Sapoŋ	Japanio
Bëj-saalumu Aamerig	Sudameriko
Noorwees	Norvegio
Irlaand	Irlando
Ongiri	Hungario
Ispaañ	Hispanio
Diiwaan yu Bennoo	Usono
Belsik	Belgio
Luksambuur	Luksemburgo (lando)
Suuf	Tero
Finlaand	Finnlando
Suweed	Svedio
Danmaark	Danio
Poloñ	Pollando
Lituwaani	Litovio
Itaali	Italio
Suwis	Svislando
Otris	Aŭstrio
Girees	Grekio
Tirki	Turkio
Portugaal	Portugalio
Tugal	Eŭropo
Asi	Azio
Bëj-gànnaaru Aamerig	Nordameriko
Goxub Dottub Bëj-saalum	Antarkto
Wikipedia	Vikipedio
Olaand	Nederlando
PHP	PHP
Berlin	Berlino
Nosukaay	Komputilo
Bern	Berno
Zurich	Zuriko
Internet	Interreto
Uruguwaay	Urugvajo
Londar	Londono
Xayra	Kairo
Alegsàndiri	Aleksandrio
Pari	Parizo
Meksik	Meksiko
Mbàmbulaanug Atlas	Atlantika Oceano
Mbàmbulaan Gu-Dal	Pacifika Oceano
Altine	Lundo
Samwie	Januaro
Fewirie	Februaro
Maars (weer)	Marto
Maas	Marso
Keeñaa	Kenjo
Ecoopi	Etiopio
Gana	Ganao
Awril	Aprilo
Mee	Majo
Suwe	Junio
Sulet	Julio
Waxset	Aŭgusto
Satumbar	Septembro
Oktoobar	Oktobro
Nowembar	Novembro
Disambar	Decembro
Talaata	Mardo
Àllarba	Merkredo
Alxames	Ĵaŭdo
Àjjuma	Vendredo
Gaawu	Sabato
Dibéer	Dimanĉo
Gaynde	Leono
Faraas	Francio
Esperanto	Esperanto
Xaj	Hundo
Nguur-Yu-Bennoo	Unuiĝinta Reĝlando
Muus	Hejma kato
Réewum Popileer bu Siin	Ĉina Popola Respubliko
Wu-faraas	Franca lingvo
Wikbaatukaay	Vikivortaro
Breesil	Brazilo
Riisi	Rusio
Géej	Maro
São Paulo	San-Paŭlo (urbo)
Almaañ	Germanio
Belaarus	Belorusio
Islaand	Islando
Yàlla	Dio
Estooni	Estonio
Benn	1 (nombro)
Ñaar	2 (nombro)
Ñatt	3 (nombro)
Ñent	4 (nombro)
Juroom	5 (nombro)
Tus	Nulo
Letóoni	Latvio
Ukreen	Ukrainio
Réewum Cek	Ĉeĥio
Eslowaaki	Slovakio
Esloweeni	Slovenio
Wilniyus	Vilno
Moldaawi	Moldava Respubliko
Romaani	Rumanio
Bulgaari	Bulgario
Rom	Romo
Réewum Maseduwaan	Respubliko Makedonio
Albaani	Albanio
Groenlaand	Gronlando
Korwaasi	Kroatio
Bosni	Bosnio kaj Hercegovino
Aserbayjaan	Azerbajĝano
Andoor	Andoro
Ciipër	Kipro
Jeoorji	Kartvelio
Kasakistaan	Kazaĥio
Malt	Malto
Monaako	Monako
Montenegro	Montenegro
Watikaa	Vatikano
San Marino	San-Marino
Burusel	Bruselo
Kubaa	Kubo
Beliis	Belizo
Barbados	Barbado
Endoneesi	Indonezio
Afrig gu Bëj-saalum	Sud-Afriko
Alseeri	Alĝerio
Usbekistaan	Uzbekujo
Warsaw	Varsovio
Ndox	Akvo
Sili	Ĉilio
Yéesu-kristaa	Jesuo Kristo
Merkuur	Merkuro (planedo)
Taariix	Historio
Weenus	Venuso (planedo)
Kàllaama	Lingvo
Yupiter	Jupitero (planedo)
Uraanus	Urano (planedo)
Neptuun	Neptuno (planedo)
Saytubiddiw	Astronomio
Singapoor	Singapuro
Xam-xam	Scienco
Pluton	Plutono
Liechtenstein	Liĥtenŝtejno
Xareb Àdduna bu Njëkk	Unua mondmilito
Ñaareelu Xareb Àdduna	Dua mondmilito
Skopje	Skopjo
Linux	Linukso
Xayma	Matematiko
Bahrayni	Barejno
Armeeni	Armenio
Seerbi	Serbio
Óstraali	Aŭstralio
Jëmm	Fiziko
Arsantin	Argentino
Peru	Peruo
Kore gu Bëj-gànnaar	Nord-Koreio
Kamboodi	Kamboĝo
Alxuraan	Korano
Lislaam	Islamo
Jubaljana	Ljubljano
Jimbulang bu waa-Brëtaañ	Encyclopaedia Britannica
World Wide Web	TTT
Jigéen	Virino
Sofiya	Sofio
Jant	Suno
Asamaan	Ĉielo
Oseyaani	Oceanio
Nosteg jant	Sunsistemo
Bés	Tago
Timoor gu Penku	Orienta Timoro
Guddi	Nokto
At	Jaro
Oslo	Oslo
Lisbon	Lisbono
Way	Muziko
Mosku	Moskvo
Cadd	Ĉado
Seland-Gu-Bees	Nov-Zelando
End	Barato
Tuvalu	Tuvalo
Tonga	Tongo
Samowaa	Samoo
Duni Solomon	Salomonoj
Wanuatu	Vanuatuo
Papuwaasi-Gine-Gu-Bees	Papuo-Nov-Gvineo
Palau	Palaŭo
Nauru	Nauro
Réew yu Bennoo yu Mikronesi	Federacio de Mikronezio
Duni Marshall	Marŝala Insularo
Kiribati	Kiribato
Mongoli	Mongolio
Fiiji	Fiĝioj
Benesuwela	Venezuelo
Amsterdam	Amsterdamo
Rab	Bestoj
Surinaam	Surinamo
Paraguwaay	Paragvajo
Guyaana	Gujano
Fànn	Arto
Ekwadoor	Ekvadoro
Koloombi	Kolombio
Boliibi	Bolivio
Tirinidaad ak Tobaago	Trinidado kaj Tobago
Gàncax	Plantoj
Saint Vincent and the Grenadines	Sankta Vincento kaj Grenadinoj
Saint Lucia	Sankta Lucio
Saint Kitts and Nevis	Sankta-Kito kaj Neviso
Jamayka	Jamajko
Grenada	Grenado (lando)
Guwaatemala	Gvatemalo
Bahamas	Bahamoj
Ganaar	Koko
Antigua ak Barbuda	Antigvo-Barbudo
Onduras	Honduro
Dominika	Dominiko
Réewum Dominik	Domingo
Mbaam	Porko
Mbàmbulaan gu Bëj-gànnaar	Arkta Oceano
Ayiti	Haitio
Salbadoor	Salvadoro
Iraan	Irano
Iraak	Irako
Kosta Riika	Kostariko
