非洲	Afriko
日本	Japanio
南美洲	Sudameriko
挪威	Norvegio
英格兰	Anglio
苏格兰	Skotlando
匈牙利	Hungario
西班牙	Hispanio
美国	Usono
比利时	Belgio
卢森堡	Luksemburgo (lando)
地球	Tero
人	Homo
欢喜	Feliĉo
芬兰	Finnlando
瑞典	Svedio
波兰	Pollando
立陶宛	Litovio
意大利	Italio
瑞士	Svislando
奥地利	Aŭstrio
希腊	Grekio
土耳其	Turkio
啤酒	Biero
葡萄牙	Portugalio
欧洲	Eŭropo
亚洲	Azio
维基百科	Vikipedio
尼德兰	Nederlando
PHP	PHP
纽约市	Novjorko
旧金山	San-Francisko
洛杉矶	Los-Anĝeleso
计算机	Komputilo
办合纳	Berno
极乃伐	Ĝenevo
苏黎世	Zuriko
巴拉克·奥巴马	Barack Obama
乌拉圭	Urugvajo
白才尔	Bazelo
打印机	Presilo
伦敦	Londono
开罗	Kairo
苹果	Pomo
墨西哥	Meksiko
大西洋	Atlantika Oceano
太平洋	Pacifika Oceano
加利福尼亚	Kalifornio
波士顿	Bostono
礼拜一	Lundo
火星	Marso
肯尼亚	Kenjo
礼拜两	Mardo
礼拜三	Merkredo
礼拜四	Ĵaŭdo
礼拜五	Vendredo
礼拜六	Sabato
礼拜天	Dimanĉo
法国	Francio
世界语	Esperanto
狗	Hundo
英国	Unuiĝinta Reĝlando
貓	Hejma kato
中华人民共和国	Ĉina Popola Respubliko
法文	Franca lingvo
鱼	Fiŝoj
巴西	Brazilo
俄罗斯	Rusio
大海	Maro
圓周率	Pi (nombro)
Π	Pio (litero)
聖保羅	San-Paŭlo (urbo)
该办克	Kebekio
德国	Germanio
白俄罗斯	Belorusio
德语	Germana lingvo
冰岛	Islando
愛沙尼亞	Estonio
土星	Saturno (planedo)
巧克力	Ĉokolado
飞机	Aviadilo
打仗	Milito
拉脱维亚	Latvio
乌克兰	Ukrainio
捷克	Ĉeĥio
斯洛伐克	Slovakio
斯洛文尼亚	Slovenio
摩尔多瓦	Moldava Respubliko
罗马尼亚	Rumanio
保加利亚	Bulgario
罗马	Romo
马其顿	Respubliko Makedonio
阿爾巴尼亞	Albanio
格陵兰	Gronlando
克罗地亚	Kroatio
波黑	Bosnio kaj Hercegovino
阿塞拜疆	Azerbajĝano
安道尔	Andoro
塞浦路斯	Kipro
格鲁吉亚	Kartvelio
哈萨克斯坦	Kazaĥio
马耳他	Malto
摩纳哥	Monako
黑山共和国	Montenegro
梵蒂冈	Vatikano
圣马力诺	San-Marino
