IYunayithedi Steyitsi	Usono
Abantu	Homo
Switserii	Svislando
Ubhiya	Biero
Europe	Eŭropo
I-Wikipedia	Vikipedio
ENetherlands	Nederlando
Ikhompyutha	Komputilo
EGeneva	Ĝenevo
Eyomqungu	Januaro
Eyomdumba	Februaro
Eyokwindla	Marto
Tshazimpuzi	Aprilo
Canzibe	Majo
Eyesilimela	Junio
Eyekhala	Julio
Eyethupha	Aŭgusto
Eyomsintsi	Septembro
Eyedwarha	Oktobro
Eyenkanga	Novembro
Eyomnga	Decembro
Ingonyama	Leono
Inja	Hundo
Ikati	Hejma kato
Intlanzi	Fiŝoj
Brasil	Brazilo
IRashiya	Rusio
IJamani	Germanio
IsiJamani	Germana lingvo
UThixo	Dio
Inqwelo-ntaka	Aviadilo
Imfazwe	Milito
Inye	1 (nombro)
Zimbini	2 (nombro)
Zintathu	3 (nombro)
Zine	4 (nombro)
Zintlanu	5 (nombro)
Iqanda	Nulo
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
UMzantsi Afrika	Sud-Afriko
Iveyn	Vino
Amanzi	Akvo
IChile	Ĉilio
UYesu Kristu	Jesuo Kristo
Imbali	Historio
Ulwimi	Lingvo
IAstronomi	Astronomio
ISyensya	Scienco
Ezemidlalo	Sporto
I-Mathematics	Matematiko
IFiziki	Fiziko
IBayoloji	Biologio
Uxolo	Paco
UKat	Suno
Isibhakabhaka	Ĉielo
Incwadi	Libro
Umculo	Muziko
William Shakespeare	William Shakespeare
UStevie Wonder	Stevie Wonder
Itshesi	Ŝako
IsiColombia	Kolombio
I-Fungi	Fungoj
Unomathotholo	Radiofonio
Igolide	Oro
I-South Pole	Suda poluso
Mauritania	Maŭritanio
INigeria	Niĝerio
Julius Caesar	Julio Cezaro
Hamburg	Hamburgo
IJioloji	Geologio
IJerusalem	Jerusalemo
E-Chicago	Ĉikago
UBusika	Vintro
EKwindla	Aŭtuno
Isiqhamo	Frukto
Imali	Mono
Uetersen	Uetersen
Augustus	Aŭgusto Cezaro
IHanoveri (eJamani)	Hanovro
Frankfurt	Frankfurto ĉe Majno
IBhayibhile	Biblio
Lenkonzo enyanisekileyo ka Krestu	Vera Eklezio de Jesuo
IsiNgesi	Angla lingvo
Concepción	Koncepciono
Końskowola	Końskowola
Inyoka	Serpento
IKhemistri	Kemio
1 Eyokwindla	1-a de marto
18 Eyekhala	18-a de julio
Ibhola ekhatywayo	Futbalo
UMichael Jackson	Michael Jackson
Ibhokhwe	Hejma kapro
Ukukhululeka	Libereco
I-Nile	Nilo
Category:Templates	Kategorio:Vikipedio:Ŝablonoj
E-Pitoli	Pretorio
Umlambo	Rivero
Osasco	Osasco (San-Paŭlo)
Curitiba	Kuritibo
Confucius	Konfuceo
Category:Izibalo	Kategorio:Matematiko
Yentaka	Birdoj
Mustafa Kemal Atatürk	Mustafa Kemal Atatürk
Iphepha Elingundoqo	Vikipedio:Ĉefpaĝo
Iqakamba	Kriketo
Ibhola yombhoxo	Rugbeo
IKapa	Kaburbo
EThekwini	Durbano
Ifilosofi	Filozofio
Category:Candidates for speedy deletion	Kategorio:Tujforigendaj artikoloj
I-Democracy	Demokratio
Indlovu	Elefanto
IsiHolani	Nederlanda lingvo
Vladimir Putin	Vladimir Putin
Igazi	Sango
Imvula	Pluvo
Nelson Mandela	Nelson Mandela
I-logic	Logiko
Alexander Makedon	Aleksandro la Granda
Ikofu	Kafo
Intaba	Monto
UbuKumkani bamaBritane	Brita imperio
Genesis	Genezo
Eksodus	Eliro
Iilwandle	Oceano
IChelsea	Chelsea F.C.
Umlomo	Buŝo
Ronald Reagan	Ronald Reagan
IsiZulu	Zulua lingvo
Ihagu	Suo
Umthi	Arbo
Inyama	Viando
Imifuno	Legomo
Amazwi alula omculo wefowuni	Telefono
Ityiwa	Salo
I-Karate	Karateo
Iphepha	Papero
Google Maps	Google Maps
Isifo sephepha	Tuberkulozo
Umlinganiselo	Mezuro
IsiXhosa	Kosa lingvo
IsiBhulu	Afrikansa lingvo
Itafile	Tablo
Template:Link FA	Ŝablono:LigoElstara
Ithoba	9 (nombro)
FIFuRoni da Futboll	Futbala Mondpokalo
Rafael Correa	Rafael Correa
ISosioloji	Sociologio
Sixhenxe	7 (nombro)
Sibhozo	8 (nombro)
Itswele	Cepo
Zintandathu	6 (nombro)
Entrena	Entrena
Ishumi	10 (nombro)
Iqwarhashe	Zebro
IsiPedi	Peda lingvo
Valparaíso	Valparaiso
IsiSotho	Sota lingvo
UWhitney Houston	Whitney Houston
Imithetho elishumi	La Dekalogo
EGoli	Johanesburgo
USathane	Satano
Ipolisa	Polico
Umhlaba	Grundo
Ibuzi	Rato
Ishumi elinambini	12 (nombro)
Ishumi elinanye	11 (nombro)
Ishumi elinantathu	13 (nombro)
EBloemfontein	Bloemfontein
Ishumi elinane	14 (nombro)
Ishumi elinantlanu	15 (nombro)
Ishumi elinesibhozo	18 (nombro)
Ishumi elinesithoba	19 (nombro)
Ishumi elinesixhenxe	17 (nombro)
Ishumi elinesithandathu	16 (nombro)
Amashumi amabini	20 (nombro)
Nonkala	Krabo
Al Pacino	Al Pacino
Desmond Tutu	Desmond Tutu
IMayini	Minado
Iziphaluka zaseBritane eziphesheya kolwandle	Britaj transmaraj teritorioj
Template:Commons Categories	Ŝablono:Commonscat
Isifo sentsholongwane i-Ebola	Ebola malsano
Ixoxo	Anuro
UJacob Zuma	Jacob Zuma
2014 FIFuRoni da Futboll	Futbala Mondpokalo 2014
IPhondo yaKwaZulu-Natala	Kvazulu-Natalo
Ulwaluko	Cirkumcido
Ibandla LamaBapist	Baptismo
IBhayi	Port Elizabeth
IPhondo yaNtshona-Koloni	Okcidenta Kablando
IPhondo laseMpuma-Koloni	Orienta Kablando
IPhondo yaMpumalanga	Mpumalanga
IPhondo yaseMntla-Koloni	Norda Kablando
IPhondo yaRhawuti	Ĥaŭtengo
IPhondo yaLimpopo	Provinco Limpopo
Zenzile Miriam Makeba	Miriam Makeba
