IAfrika	Afriko
IJapani	Japanio
IMelika Eningizimu	Sudameriko
INoki	Norvegio
INgilandi	Anglio
IsiKotilandi	Skotlando
IWelisi	Kimrio
I-Ayilendi	Irlando
ISpeyini	Hispanio
IMelika	Usono
IFinlandi	Finnlando
ISwidi	Svedio
IDenimaki	Danio
IPolandi	Pollando
ILithuwaniya	Litovio
ITaliya	Italio
I-Ostriya	Aŭstrio
IGreki	Grekio
ITheki	Turkio
IPhothugali	Portugalio
IYurobhu	Eŭropo
I-Eshiya	Azio
IMelika Enyakatho	Nordameriko
I-Antatika	Antarkto
Wikipedia	Vikipedio
Netherlands	Nederlando
New York (idolobha)	Novjorko
IBerlini	Berlino
Ikhompiyutha	Komputilo
Barack Obama	Barack Obama
ILondon	Londono
Ihhabhula	Pomo
IParisi	Parizo
IMekisiko	Meksiko
California	Kalifornio
IKenya	Kenjo
I-Ithiopia	Etiopio
IGana	Ganao
Ibhubesi	Leono
IFulansi	Francio
Isi-Esperanto	Esperanto
Inja	Hundo
Umbuso Ohlangeneyo	Unuiĝinta Reĝlando
Ikati	Hejma kato
IShayina	Ĉina Popola Respubliko
IsiFulentshi	Franca lingvo
IBrazili	Brazilo
IRashiya	Rusio
Ulwandle	Maro
IJalimani	Germanio
IBelarusi	Belorusio
IsiJalimani	Germana lingvo
I-Ayisilandi	Islando
UNkulunkulu	Dio
I-Estoniya	Estonio
David Cameron	David Cameron
USatureni	Saturno (planedo)
George W. Bush	George W. Bush
ILatviya	Latvio
ITsheki	Ĉeĥio
ISlovaki	Slovakio
IVilnyusi	Vilno
IBulgariya	Bulgario
Azerbaijan	Azerbajĝano
IMalta	Malto
Indolobha yaseVathikhani	Vatikano
USanti Marino	San-Marino
Belize	Belizo
Volkswagen	Volkswagen
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
IRiphabliki yaseNingizimu Afrika	Sud-Afriko
IAljiriya	Alĝerio
IWarshawa	Varsovio
Amanzi	Akvo
Isi-Icelandic	Islanda lingvo
ITshile	Ĉilio
Apple	Apple
UVenusi	Venuso (planedo)
U-Uranu	Urano (planedo)
UNepetuni	Neptuno (planedo)
UPluto	Plutono
